"model","term","estimate","se","p_value","p_holm","p_bh"
"M3_brand","x_brand",1.50281893729599,0.240947673811179,9.77191743163476e-10,7.91525311962416e-08,5.130616709916e-08
"M1_brand","x_brand",1.52888945859732,0.235536944404283,1.26681894072e-09,1.013455152576e-07,5.130616709916e-08
"M2_rep","x_rep",1.33507353215811,0.411154385692609,0.00138538259769164,0.10944522521764,0.0361408424071383
"M3_pop","inv_cat_mc",0.290477244358736,0.0924658460682258,0.0017847329583772,0.139209170753422,0.0361408424071383
"M2_pop","inv_cat_mc",0.518472964044788,0.191190856680522,0.00758988926508538,0.584421473411574,0.122956206094383
"M3_brand","x_brand:comp_brand",-0.745391050858306,0.289854069805729,0.0104220056076349,0.792072426180252,0.140697075703071
"M2_brand","x_brand",1.03468257222216,0.432263654734765,0.0180075639788896,1,0.208373240327151
"M3_brand","comp_brand",0.473582782187641,0.21179707589118,0.0258082271429308,1,0.218853562096571
"M3_pop","x_pop:inv_app_mc",0.297183191903738,0.133562795112249,0.0265412855310129,1,0.218853562096571
"M1_pop","inv_app_mc",0.358095169909146,0.160625894353563,0.0270189582835273,1,0.218853562096571
"M3_pop","inv_dl_mc",-0.162959767754622,0.0762656950767658,0.0331232551075429,1,0.235860136014839
"M2_pop","x_pop:inv_app_mc",0.573069427217112,0.268897986156438,0.0349422423725688,1,0.235860136014839
"M2_brand","x_brand:inv_app_mc",0.540929160108289,0.260608023659266,0.0397565927805854,1,0.247714155017494
"M3_rep","x_rep:inv_app_mc",0.278237569574881,0.146580877537771,0.0582701069507526,1,0.321980429393759
"M1_rep","x_rep",0.498617099106183,0.262587793728328,0.0596260054432887,1,0.321980429393759
"M1_pop","inv_dl_mc",-0.229192539512302,0.123481410251924,0.065066411559024,1,0.324056867874432
"M1_rep","inv_cat_mc",0.351149348060017,0.20203659809875,0.0843854742143112,1,0.324056867874432
"M1_brand","x_brand:inv_cat_mc",0.400126125202105,0.230654326875117,0.0849111699425689,1,0.324056867874432
"M3_rep","x_rep",0.457599119666572,0.268971450134446,0.089534334075222,1,0.324056867874432
"M3_pop","x_pop",0.367730518894325,0.218383474257872,0.0928545745731041,1,0.324056867874432
"M1_pop","x_pop",0.361101558360664,0.214780442978587,0.0944373078085609,1,0.324056867874432
"M2_pop","inv_dl_mc",-0.252699258267682,0.15049733402451,0.0955172867638545,1,0.324056867874432
"M1_rep","x_rep:inv_dl_mc",0.38613965490091,0.232552300459639,0.0990477658100974,1,0.324056867874432
"M3_brand","x_brand:inv_dl_mc",-0.174236543080209,0.105738338986733,0.100044989450464,1,0.324056867874432
"M2_brand","inv_cat_mc",0.287315124908097,0.173766762212123,0.100479398471884,1,0.324056867874432
"M3_brand","x_brand:inv_app_mc",0.214754898664161,0.131851655193113,0.10401825388562,1,0.324056867874432
"M3_rep","x_rep:comp_rep",0.51001299148976,0.322484246701246,0.114418115975915,1,0.34276320391937
"M3_rep","comp_rep",-0.353853943367524,0.227151793107627,0.119941610171824,1,0.34276320391937
"M2_pop","x_pop:inv_cat_mc",-0.429870176457051,0.279142048935353,0.125979917337905,1,0.34276320391937
"M1_pop","inv_cat_mc",0.221628866885312,0.144544220214723,0.126949334784952,1,0.34276320391937
"M1_brand","inv_app_mc",0.232754238768566,0.155210323164277,0.135890797826219,1,0.35506950399754
"M3_pop","comp_pop",-0.282590560896959,0.197051710973448,0.152195373559003,1,0.376027433879551
