"sample","model","involvement","position","estimate","se","df","p_value","converged","max_grad","scale","n","curve","estimand","significant","favours"
"all","cr2",FALSE,FALSE,0.176122459327702,0.204585068283286,488.192886144925,0.389728712250642,TRUE,NA,"Likert points",1473,"main","brand - reputation",FALSE,TRUE
"all","cr2",FALSE,TRUE,0.175958608243584,0.205349807896741,487.824727568484,0.391936070437732,TRUE,NA,"Likert points",1473,"main","brand - reputation",FALSE,TRUE
"all","cr2",TRUE,FALSE,0.193735957938145,0.20293057542384,487.77628885678,0.340206951871223,TRUE,NA,"Likert points",1473,"main","brand - reputation",FALSE,TRUE
"all","cr2",TRUE,TRUE,0.19357246780245,0.203701026982942,487.396580520775,0.342442319756013,TRUE,NA,"Likert points",1473,"main","brand - reputation",FALSE,TRUE
"all","lmm",FALSE,FALSE,0.203946420163198,0.172931125688778,1228.68990609065,0.238486919087142,TRUE,NA,"Likert points",1473,"main","brand - reputation",FALSE,TRUE
"all","lmm",FALSE,TRUE,0.203795299018485,0.172533264155121,1225.19903443429,0.237754798970166,TRUE,NA,"Likert points",1473,"main","brand - reputation",FALSE,TRUE
"all","lmm",TRUE,FALSE,0.21048860961895,0.172322931818168,1240.08903414704,0.222137380630788,TRUE,NA,"Likert points",1473,"main","brand - reputation",FALSE,TRUE
"all","lmm",TRUE,TRUE,0.210309141284001,0.171929153930901,1236.55801013083,0.22147536089065,TRUE,NA,"Likert points",1473,"main","brand - reputation",FALSE,TRUE
"all","clmm",FALSE,FALSE,0.400826802217398,0.00277537986538349,Inf,0,FALSE,7.24,"log-odds",1473,"main","brand - reputation",TRUE,TRUE
"all","clmm",FALSE,TRUE,0.406700059248803,0.273543731864103,Inf,0.137072240101782,TRUE,0.00127,"log-odds",1473,"main","brand - reputation",FALSE,TRUE
"all","clmm",TRUE,FALSE,0.408390779218984,0.271793250622374,Inf,0.132947690932585,TRUE,0.0015,"log-odds",1473,"main","brand - reputation",FALSE,TRUE
"all","clmm",TRUE,TRUE,0.414161993677899,0.272233755117847,Inf,0.128172793491857,TRUE,0.0015,"log-odds",1473,"main","brand - reputation",FALSE,TRUE
"pos1","ols",FALSE,FALSE,1.04735157517766,0.356952967502902,485,0.00350318988616256,TRUE,NA,"Likert points",491,"main","brand - reputation",TRUE,TRUE
"pos1","ols",TRUE,FALSE,0.978639063524633,0.344529169413707,482,0.00469473100510895,TRUE,NA,"Likert points",491,"main","brand - reputation",TRUE,TRUE
"pos1","clm",FALSE,FALSE,1.27825107438639,0.413076119259853,Inf,0.00197165813586157,TRUE,2.91e-11,"log-odds",491,"main","brand - reputation",TRUE,TRUE
"pos1","clm",TRUE,FALSE,1.28357058827251,0.414760024143022,Inf,0.00196991655218883,TRUE,3.38e-10,"log-odds",491,"main","brand - reputation",TRUE,TRUE
"pos2","ols",FALSE,FALSE,0.173529714697705,0.350413511050403,485,0.620673273326909,TRUE,NA,"Likert points",491,"main","brand - reputation",FALSE,TRUE
"pos2","ols",TRUE,FALSE,0.152879199220785,0.348599745255327,482,0.661182505829714,TRUE,NA,"Likert points",491,"main","brand - reputation",FALSE,TRUE
"pos2","clm",FALSE,FALSE,0.197427279258238,0.399234183338018,Inf,0.62094253834889,TRUE,4.77e-12,"log-odds",491,"main","brand - reputation",FALSE,TRUE
"pos2","clm",TRUE,FALSE,0.132105473411396,0.401131638960912,Inf,0.741904781109236,TRUE,1.72e-11,"log-odds",491,"main","brand - reputation",FALSE,TRUE
"pos3","ols",FALSE,FALSE,-0.487134416945747,0.343228965833924,485,0.156462807760068,TRUE,NA,"Likert points",491,"main","brand - reputation",FALSE,FALSE
"pos3","ols",TRUE,FALSE,-0.39486392748005,0.340784770436297,482,0.247156283629458,TRUE,NA,"Likert points",491,"main","brand - reputation",FALSE,FALSE
"pos3","clm",FALSE,FALSE,-0.45154109325774,0.38332712829627,Inf,0.238815601429611,TRUE,6.5e-10,"log-odds",491,"main","brand - reputation",FALSE,FALSE
"pos3","clm",TRUE,FALSE,-0.367119878616379,0.38417101829116,Inf,0.339266397565875,TRUE,7.86e-10,"log-odds",491,"main","brand - reputation",FALSE,FALSE
"ticked","cr2",FALSE,FALSE,0.180121169715468,0.245923666787323,400.777645987333,0.464336006637591,TRUE,NA,"Likert points",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","cr2",FALSE,TRUE,0.183576975924797,0.24607702643542,400.110301788104,0.456096854918238,TRUE,NA,"Likert points",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","cr2",TRUE,FALSE,0.231194154733963,0.241727242012234,399.682275255871,0.339435324207072,TRUE,NA,"Likert points",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","cr2",TRUE,TRUE,0.234671858234519,0.241953202007742,399.028302413866,0.332680884097702,TRUE,NA,"Likert points",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","lmm",FALSE,FALSE,0.253694936777391,0.213415112783166,863.998213547808,0.234868881615997,TRUE,NA,"Likert points",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","lmm",FALSE,TRUE,0.256410963263135,0.21280600382144,857.813901112382,0.228572380577075,TRUE,NA,"Likert points",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","lmm",TRUE,FALSE,0.280282551553077,0.212069912669324,871.254831853206,0.186631100998823,TRUE,NA,"Likert points",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","lmm",TRUE,TRUE,0.282851735118234,0.211454394223536,865.212511460209,0.181362419032279,TRUE,NA,"Likert points",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","clmm",FALSE,FALSE,0.533208800503759,0.330195452529394,Inf,0.106347988246909,TRUE,0.00124,"log-odds",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","clmm",FALSE,TRUE,0.545087374833611,0.331201276855431,Inf,0.0998072347683306,TRUE,0.00196,"log-odds",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","clmm",TRUE,FALSE,0.567537949269132,0.328419452673177,Inf,0.0839723207763466,TRUE,0.00269,"log-odds",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"ticked","clmm",TRUE,TRUE,0.579594520356964,0.329407212404997,Inf,0.078491316797149,TRUE,0.00182,"log-odds",1007,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","cr2",FALSE,FALSE,0.0754119851534049,0.345255814556383,158.744889045928,0.827379698986936,TRUE,NA,"Likert points",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","cr2",FALSE,TRUE,0.0992108362422423,0.348560907748597,158.152924542387,0.776300098591888,TRUE,NA,"Likert points",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","cr2",TRUE,FALSE,0.107392235898361,0.342285711502697,158.202478459063,0.754124025913631,TRUE,NA,"Likert points",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","cr2",TRUE,TRUE,0.131394203785742,0.345105988836917,157.685546302701,0.703911733803898,TRUE,NA,"Likert points",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","lmm",FALSE,FALSE,0.0601952468279199,0.288887892010056,393.762955235851,0.835048689473071,TRUE,NA,"Likert points",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","lmm",FALSE,TRUE,0.0903169339080263,0.28879580310688,391.414803748106,0.754647561748617,TRUE,NA,"Likert points",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","lmm",TRUE,FALSE,0.0719014845684997,0.288832013002837,393.782570799796,0.803537934705934,TRUE,NA,"Likert points",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","lmm",TRUE,TRUE,0.102058363917674,0.288737850377295,391.443108040464,0.723931082427599,TRUE,NA,"Likert points",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","clmm",FALSE,FALSE,0.372674042492231,0.47705428846406,Inf,0.434685820010246,TRUE,0.000573,"log-odds",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","clmm",FALSE,TRUE,0.429912828575987,0.47876258782694,Inf,0.369203339088954,TRUE,0.000711,"log-odds",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","clmm",TRUE,FALSE,0.39003058458544,0.476395349973102,Inf,0.412950754716346,TRUE,0.000874,"log-odds",489,"slide-6 panel","brand - reputation",FALSE,TRUE
"all3","clmm",TRUE,TRUE,0.447038350794265,0.478177858026247,Inf,0.349850754333626,TRUE,0.000494,"log-odds",489,"slide-6 panel","brand - reputation",FALSE,TRUE
