"estimand","focal","unit","estimate","se","df","ci90_lo","ci90_hi","flip_point","band_lo","band_hi","p_value","verdict"
"popularity effect, all observations","pop","points",0.218067552428463,0.122285589952816,1267.52045407698,0.016778540617246,0.41935656423968,0.41935656423968,0.26,0.33,0.0747824818925111,"inconclusive"
"popularity effect, shown first","pop","points",0.461463090422402,0.196853884121612,1270.93624528507,0.137431077083495,0.785495103761309,0.785495103761309,0.26,0.33,0.0192217377481805,"effect present"
"popularity effect, after others","pop","points",0.0585208379903428,0.155758622384165,1274.830335379,-0.197865607091116,0.314907283071801,0.314907283071801,0.26,0.33,0.707191353964805,"at the boundary"
"M2 interaction x_rep:x_brand (M2_rep)","rep","points",0.166029704898686,0.467383681499774,184,-0.606638288442652,0.938697698240024,0.938697698240024,0.283257708726059,0.359519399536921,0.722822559790135,"inconclusive"
"M2 interaction x_rep:x_pop (M2_rep)","rep","points",-0.370776924094191,0.460662572258747,184,-1.13233373363547,0.390779885447088,1.13233373363547,0.283257708726059,0.359519399536921,0.421929186971966,"inconclusive"
"M2 interaction x_pop:x_brand (M2_pop)","pop","points",0.391589871675666,0.546477475585015,131,-0.51368758167199,1.29686732502332,1.29686732502332,0.26,0.33,0.474914448831869,"inconclusive"
"M2 interaction x_pop:x_rep (M2_pop)","pop","points",-0.743727023284607,0.539234699138088,131,-1.63700632023978,0.149552273670562,1.63700632023978,0.26,0.33,0.170174908614994,"inconclusive"
"M2 interaction x_brand:x_rep (M2_brand)","brand","points",0.251012672577242,0.50720528478028,140,-0.588823169195111,1.09084851434959,1.09084851434959,0.263111348993182,0.333949019875962,0.62145098035993,"inconclusive"
"M2 interaction x_brand:x_pop (M2_brand)","brand","points",-0.676552759227867,0.511096912069673,140,-1.52283239837088,0.169726879915145,1.52283239837088,0.263111348993182,0.333949019875962,0.187751170809882,"inconclusive"
"moderation inv_dl on rep (per +1 s.d.)","rep","points",-0.0883825975452803,0.123830789368506,1283.55752209643,-0.292213232495975,0.115448037405414,0.292213232495975,0.283257708726059,0.359519399536921,0.475519671718566,"at the boundary"
"moderation inv_cat on brand (per +1 s.d.)","brand","points",0.11208916716762,0.124696629723458,1285.77706356649,-0.0931664211468018,0.317344755482042,0.317344755482042,0.263111348993182,0.333949019875962,0.36887693526218,"at the boundary"
