"question","probability","probability_pct"
"brand effect is positive",1,"100.0%"
"reputation effect is positive",1,"100.0%"
"popularity effect is positive",0.96552,"96.6%"
"brand is ahead of reputation",0.881625,"88.2%"
"brand is ahead of popularity",1,"100.0%"
"reputation is ahead of popularity",0.99987,"100.0%"
"the full ranking brand > reputation > popularity holds",0.881495,"88.1%"
"brand and reputation are within 0.26 points of each other",0.62899,"62.9%"
"brand and reputation are within 0.33 points of each other",0.77165,"77.2%"
"the popularity effect is smaller than 0.26 points",0.6269,"62.7%"
"the popularity effect is smaller than 0.33 points",0.81561,"81.6%"
"brand is ahead of reputation BEFORE any comparison",0.99123,"99.1%"
"brand is ahead of reputation AFTER other apps were seen",0.44132,"44.1%"
"the brand-reputation gap shrinks once other apps are seen",0.978755,"97.9%"
"the popularity effect is positive BEFORE any comparison",0.989875,"99.0%"
"the popularity effect is smaller than 0.26 points AFTER comparison",0.87485,"87.5%"
