"question","probability","probability_pct"
"brand effect is positive",1,"100.0%"
"reputation effect is positive",1,"100.0%"
"popularity effect is positive",0.96475,"96.5%"
"brand is ahead of reputation",0.8875,"88.8%"
"brand is ahead of popularity",1,"100.0%"
"reputation is ahead of popularity",1,"100.0%"
"the full ranking brand > reputation > popularity holds",0.8875,"88.8%"
"brand and reputation are within 0.26 points of each other",0.6125,"61.3%"
"brand and reputation are within 0.33 points of each other",0.756,"75.6%"
"the popularity effect is smaller than 0.26 points",0.63175,"63.2%"
"the popularity effect is smaller than 0.33 points",0.81825,"81.8%"
"brand is ahead of reputation BEFORE any comparison",0.9855,"98.6%"
"brand is ahead of reputation AFTER other apps were seen",0.511,"51.1%"
"the brand-reputation gap shrinks once other apps are seen",0.962,"96.2%"
"the popularity effect is positive BEFORE any comparison",0.993,"99.3%"
"the popularity effect is smaller than 0.26 points AFTER comparison",0.87325,"87.3%"
