"question","probability_approximation","probability_full","difference_pp"
"brand and reputation are within 0.26 points of each other",0.62899,0.66825,3.926
"brand is ahead of reputation AFTER other apps were seen",0.44132,0.476,3.468
"brand and reputation are within 0.33 points of each other",0.77165,0.8035,3.185
"the popularity effect is smaller than 0.26 points",0.6269,0.6005,-2.64
"the full ranking brand > reputation > popularity holds",0.881495,0.8635,-1.7995
"brand is ahead of reputation",0.881625,0.86375,-1.7875
"the popularity effect is smaller than 0.33 points",0.81561,0.80325,-1.23599999999999
"the brand-reputation gap shrinks once other apps are seen",0.978755,0.971,-0.775500000000007
"brand is ahead of reputation BEFORE any comparison",0.99123,0.986,-0.523000000000007
"the popularity effect is smaller than 0.26 points AFTER comparison",0.87485,0.87875,0.390000000000001
"popularity effect is positive",0.96552,0.96725,0.173000000000001
"the popularity effect is positive BEFORE any comparison",0.989875,0.99025,0.0375000000000014
"reputation is ahead of popularity",0.99987,0.99975,-0.0120000000000009
"brand effect is positive",1,1,0
"brand is ahead of popularity",1,1,0
"reputation effect is positive",1,1,0
