"focal","position","x","mean_raw","mean_centred"
"brand","first","low",4.1304347826087,-0.836978659391304
"rep","first","low",3.90540540540541,-0.141437771594595
"pop","first","low",4.63829787234043,0.112839624340425
"brand","first","high",5.61904761904762,0.651634177047619
"rep","first","high",4.34666666666667,0.299823489666667
"pop","first","high",4.97894736842105,0.453489120421053
"brand","second","low",4.71428571428571,-0.253127727714286
"rep","second","low",3.72602739726027,-0.320815779739726
"pop","second","low",4.5125,-0.012958248
"brand","second","high",5.46315789473684,0.495744452736842
"rep","second","high",4.3013698630137,0.254526686013699
"pop","second","high",4.13924050632911,-0.386217741670886
"brand","third","low",4.44,-0.527413442
"rep","third","low",3.43396226415094,-0.612880912849057
"pop","third","low",4.18571428571429,-0.339743962285714
"brand","third","high",5.20779220779221,0.240378765792208
"rep","third","high",4.68888888888889,0.642045711888889
"pop","third","high",4.54794520547945,0.022486957479452
