"subject","focal","position","pos_num","x","x_lab","y","y_mc","manip_ok","comp","inv_app","inv_dl","inv_cat","x_brand","x_pop","x_rep","x_other_brand","x_other_rep","x_other_pop"
6943,"brand","first",1,1,"high",5,0.032586558,1,0,0.004801097,0.640027322,0.019791667,1,1,0,NA,0,1
6943,"pop","second",2,1,"high",4,-0.525458248,1,1,0.004801097,0.640027322,0.019791667,1,1,0,1,0,NA
6943,"rep","third",3,0,"low",2,-2.046843177,1,1,0.004801097,0.640027322,0.019791667,1,1,0,1,NA,1
7945,"rep","first",1,1,"high",5,0.953156823,1,0,0.671467764,-0.026639344,-0.105208333,1,0,1,1,NA,0
7945,"brand","second",2,1,"high",4,-0.967413442,1,1,0.671467764,-0.026639344,-0.105208333,1,0,1,NA,1,0
7945,"pop","third",3,0,"low",2,-2.525458248,1,1,0.671467764,-0.026639344,-0.105208333,1,0,1,1,1,NA
7946,"brand","first",1,0,"low",6,1.032586558,1,0,-0.661865569,0.306693989,0.144791667,0,1,0,NA,0,1
7946,"rep","second",2,0,"low",3,-1.046843177,1,1,-0.661865569,0.306693989,0.144791667,0,1,0,0,NA,1
7946,"pop","third",3,1,"high",6,1.474541752,1,1,-0.661865569,0.306693989,0.144791667,0,1,0,0,0,NA
7947,"brand","first",1,1,"high",6,1.032586558,0,0,1.671467764,-1.359972678,0.394791667,1,1,0,NA,0,1
7947,"rep","second",2,0,"low",2,-2.046843177,0,1,1.671467764,-1.359972678,0.394791667,1,1,0,1,NA,1
7947,"pop","third",3,1,"high",7,2.474541752,1,1,1.671467764,-1.359972678,0.394791667,1,1,0,1,0,NA
7948,"pop","first",1,0,"low",4,-0.525458248,1,0,1.671467764,0.973360656,0.269791667,1,0,1,1,1,NA
7948,"rep","second",2,1,"high",2,-2.046843177,1,1,1.671467764,0.973360656,0.269791667,1,0,1,1,NA,0
7948,"brand","third",3,1,"high",4,-0.967413442,1,1,1.671467764,0.973360656,0.269791667,1,0,1,NA,1,0
7949,"pop","first",1,0,"low",5,0.474541752,1,0,1.338134431,-0.693306011,2.519791667,1,0,0,1,0,NA
7949,"brand","second",2,1,"high",6,1.032586558,1,1,1.338134431,-0.693306011,2.519791667,1,0,0,NA,0,0
7949,"rep","third",3,0,"low",2,-2.046843177,1,1,1.338134431,-0.693306011,2.519791667,1,0,0,1,NA,0
7950,"pop","first",1,1,"high",5,0.474541752,1,0,0.004801097,-0.026639344,-0.230208333,0,1,1,0,1,NA
7950,"rep","second",2,1,"high",6,1.953156823,1,1,0.004801097,-0.026639344,-0.230208333,0,1,1,0,NA,1
7950,"brand","third",3,0,"low",2,-2.967413442,0,1,0.004801097,-0.026639344,-0.230208333,0,1,1,NA,1,1
7951,"brand","first",1,1,"high",6,1.032586558,1,0,0.671467764,0.640027322,-0.605208333,1,0,1,NA,1,0
7951,"pop","second",2,0,"low",3,-1.525458248,0,1,0.671467764,0.640027322,-0.605208333,1,0,1,1,1,NA
7951,"rep","third",3,1,"high",6,1.953156823,0,1,0.671467764,0.640027322,-0.605208333,1,0,1,1,NA,0
7952,"pop","first",1,0,"low",5,0.474541752,0,0,1.338134431,0.640027322,0.769791667,0,0,0,0,0,NA
7952,"brand","second",2,0,"low",7,2.032586558,1,1,1.338134431,0.640027322,0.769791667,0,0,0,NA,0,0
