"subject","y.brand","x.brand","pos_num.brand","manip_ok.brand","y.pop","x.pop","pos_num.pop","manip_ok.pop","y.rep","x.rep","pos_num.rep","manip_ok.rep","inv_app","inv_dl","inv_cat","manip_ok_all"
6943,5,1,1,1,4,1,2,1,2,0,3,1,0.004801097,0.640027322,0.019791667,3
7945,4,1,2,1,2,0,3,1,5,1,1,1,0.671467764,-0.026639344,-0.105208333,3
7946,6,0,1,1,6,1,3,1,3,0,2,1,-0.661865569,0.306693989,0.144791667,3
7947,6,1,1,0,7,1,3,1,2,0,2,0,1.671467764,-1.359972678,0.394791667,1
7948,4,1,3,1,4,0,1,1,2,1,2,1,1.671467764,0.973360656,0.269791667,3
7949,6,1,2,1,5,0,1,1,2,0,3,1,1.338134431,-0.693306011,2.519791667,3
7950,2,0,3,0,5,1,1,1,6,1,2,1,0.004801097,-0.026639344,-0.230208333,2
7951,6,1,1,1,3,0,2,0,6,1,3,0,0.671467764,0.640027322,-0.605208333,1
7952,7,0,2,1,5,0,1,0,6,0,3,1,1.338134431,0.640027322,0.769791667,2
7953,7,1,1,1,6,1,3,0,6,1,2,0,1.004801097,1.306693989,2.394791667,1
7954,4,0,1,1,5,1,2,1,4,0,3,1,0.004801097,-1.693306011,0.769791667,3
7955,1,0,2,1,2,0,1,1,6,1,3,1,-1.328532236,0.973360656,0.894791667,3
7956,4,1,1,1,4,0,2,0,4,0,3,0,0.004801097,-0.693306011,-0.355208333,1
7957,7,1,1,0,7,1,2,1,5,1,3,1,1.338134431,1.973360656,-0.855208333,2
7958,6,0,2,1,6,0,3,1,6,1,1,1,-1.328532236,-0.359972678,0.644791667,3
7959,3,0,2,1,2,1,3,0,5,0,1,1,-0.328532236,-0.359972678,0.519791667,2
7960,4,1,1,1,4,1,2,1,4,1,3,0,-0.661865569,-0.359972678,-0.605208333,2
7961,7,0,3,1,6,0,2,1,5,0,1,1,0.004801097,0.306693989,0.519791667,3
7963,6,1,1,1,2,1,2,1,1,0,3,1,0.004801097,1.306693989,-0.480208333,3
7965,4,1,2,1,4,1,1,1,4,1,3,1,0.004801097,-0.359972678,-1.105208333,3
7966,5,1,2,0,3,1,3,0,6,1,1,1,0.004801097,0.973360656,-0.355208333,1
7967,7,1,1,1,5,1,3,0,4,1,2,1,1.004801097,-1.359972678,-0.855208333,2
7969,6,0,2,1,4,1,1,0,4,1,3,1,-2.328532236,-1.026639344,-1.105208333,2
7970,7,1,1,1,5,1,3,0,1,1,2,1,1.671467764,0.306693989,-1.230208333,2
7971,4,1,2,1,5,0,3,0,1,0,1,1,-5.328532236,-4.693306011,-0.355208333,2
7972,4,0,3,1,5,0,1,0,3,1,2,0,-0.995198903,0.306693989,-0.730208333,1
7974,7,1,1,1,4,1,2,1,2,1,3,1,0.338134431,1.306693989,1.894791667,3
7975,6,0,1,0,7,1,3,1,4,0,2,1,1.004801097,1.306693989,1.519791667,2
7976,7,1,2,1,6,1,1,0,4,1,3,0,0.004801097,-0.026639344,1.519791667,1
7977,4,1,2,0,4,1,1,1,4,1,3,0,-2.661865569,-1.026639344,0.144791667,1
7978,5,1,2,0,2,1,3,0,3,1,1,1,-0.328532236,-0.359972678,-0.605208333,1
7979,4,0,2,1,4,1,1,1,3,0,3,1,0.004801097,1.973360656,-0.480208333,3
7980,6,0,2,1,6,1,1,0,5,0,3,1,0.338134431,-0.026639344,-0.605208333,2
7981,1,1,2,0,3,0,1,1,4,1,3,1,1.338134431,-1.359972678,2.519791667,2
7982,6,1,2,1,6,0,3,1,7,1,1,1,0.671467764,-0.693306011,-0.105208333,3
7983,6,1,2,1,4,0,1,1,2,0,3,1,0.671467764,0.306693989,1.519791667,3
7984,6,1,1,1,5,0,2,0,3,1,3,1,-2.661865569,-0.026639344,0.894791667,2
7985,6,0,2,1,7,0,1,1,3,0,3,1,0.338134431,-1.359972678,0.644791667,3
7987,6,0,2,1,5,0,1,1,6,0,3,1,0.004801097,0.306693989,-0.230208333,3
7988,5,0,1,1,6,0,2,1,6,0,3,1,0.671467764,0.973360656,0.519791667,3
7989,6,1,1,1,6,1,3,0,6,0,2,0,1.338134431,-0.359972678,-1.980208333,1
7990,5,0,2,0,6,0,3,1,2,0,1,1,-2.328532236,-0.693306011,-1.605208333,2
7991,4,1,3,0,5,1,2,1,4,1,1,1,-0.995198903,-0.693306011,-0.105208333,2
7992,5,1,1,1,4,1,2,1,4,1,3,1,-0.328532236,-0.359972678,0.144791667,3
7993,4,0,3,1,3,1,1,1,3,0,2,1,0.004801097,-0.026639344,0.269791667,3
7994,6,1,3,1,6,0,1,1,6,0,2,1,0.671467764,0.973360656,-0.230208333,3
7995,7,1,2,1,6,0,3,0,5,1,1,1,0.004801097,1.640027322,-0.605208333,2
7996,7,1,1,1,7,0,2,0,1,1,3,1,0.004801097,-3.693306011,-0.480208333,2
7997,6,1,3,0,6,0,1,0,6,0,2,0,-1.995198903,-0.359972678,0.019791667,0
7998,4,1,2,0,4,1,1,1,4,1,3,1,0.338134431,-0.359972678,-0.605208333,2
7999,7,1,3,1,3,1,2,0,6,1,1,1,0.671467764,0.973360656,-0.480208333,2
8001,4,1,1,1,3,1,3,1,2,1,2,0,-1.661865569,-1.693306011,-4.480208333,2
8002,4,0,2,1,4,0,3,1,4,0,1,1,0.671467764,-0.026639344,0.519791667,3
8003,4,1,1,0,4,0,2,0,4,1,3,0,-2.661865569,-0.693306011,-1.105208333,0
8004,6,1,2,1,4,1,3,0,5,1,1,0,-0.661865569,-0.359972678,0.019791667,1
8005,4,0,1,1,5,0,2,0,2,0,3,0,0.338134431,-0.693306011,0.769791667,1
8006,4,1,1,0,4,0,3,0,4,0,2,1,-2.328532236,1.306693989,0.769791667,1
8007,5,0,2,1,7,1,1,0,4,1,3,0,-0.995198903,0.640027322,-0.105208333,1
8008,2,0,3,0,6,0,2,0,6,0,1,0,1.338134431,2.306693989,-1.980208333,0
8010,3,0,3,0,5,1,2,1,4,1,1,0,-0.661865569,-1.359972678,-0.480208333,1
8011,7,0,3,0,7,1,1,0,7,1,2,1,-0.328532236,2.306693989,-1.230208333,1
8012,7,0,3,1,7,1,1,0,7,0,2,0,-0.328532236,2.306693989,-1.230208333,1
8013,7,0,1,1,7,0,2,1,7,0,3,0,-0.328532236,2.306693989,-1.230208333,2
8014,4,1,2,1,4,1,1,1,4,0,3,1,0.004801097,-1.026639344,-0.355208333,3
8015,4,0,1,0,4,1,2,1,5,0,3,1,-1.661865569,0.640027322,-1.230208333,2
8016,4,0,3,1,4,0,2,1,4,0,1,1,-0.661865569,-0.359972678,-1.230208333,3
8017,5,1,2,0,3,1,3,1,6,0,1,0,0.004801097,0.640027322,0.394791667,1
8018,6,1,1,0,4,0,2,1,3,0,3,1,-0.328532236,-0.026639344,0.144791667,2
8019,5,0,2,0,6,0,3,0,5,0,1,1,0.338134431,-0.693306011,0.394791667,1
8020,7,1,1,1,7,1,2,0,5,0,3,1,1.338134431,-1.359972678,1.019791667,2
8021,5,0,2,0,6,0,1,1,5,0,3,1,0.671467764,0.973360656,0.144791667,2
8023,6,1,3,0,6,0,1,1,6,1,2,1,0.004801097,-0.693306011,-0.105208333,2
8024,4,0,1,0,2,0,2,0,2,0,3,0,0.338134431,-1.693306011,0.144791667,0
8026,7,1,1,1,1,0,3,1,3,1,2,1,1.338134431,-2.693306011,-1.355208333,3
8027,2,0,2,1,2,0,3,1,6,1,1,1,1.004801097,-1.359972678,-0.355208333,3
8028,6,1,1,1,7,1,3,1,3,1,2,1,0.671467764,-1.026639344,-0.605208333,3
8029,4,1,3,0,4,0,1,0,4,1,2,0,-0.328532236,1.306693989,-0.480208333,0
8030,6,1,3,0,5,1,1,1,7,1,2,1,0.338134431,0.640027322,0.019791667,2
8031,5,0,1,0,7,0,2,1,4,1,3,1,-0.661865569,-0.359972678,0.394791667,2
8032,7,1,2,1,5,1,1,1,3,0,3,1,-0.661865569,1.306693989,-0.480208333,3
8033,6,0,2,0,6,1,1,0,7,1,3,1,0.671467764,-0.693306011,-1.355208333,1
8034,6,1,2,1,3,0,1,1,3,1,3,1,1.004801097,0.306693989,-1.855208333,3
8036,6,1,1,1,6,1,2,1,6,1,3,1,0.671467764,-0.359972678,0.144791667,3
8037,6,1,2,1,4,0,3,1,5,1,1,1,-0.995198903,-0.693306011,0.144791667,3
8038,6,1,1,1,2,0,2,0,5,0,3,0,-1.661865569,2.306693989,0.019791667,1
8039,2,1,3,1,1,1,1,0,2,1,2,1,-0.995198903,2.306693989,-0.855208333,2
8040,6,1,1,1,4,0,3,0,2,1,2,0,-0.995198903,-1.693306011,0.269791667,1
8041,5,0,1,1,4,1,3,1,5,0,2,1,0.004801097,0.973360656,1.519791667,3
8042,3,1,1,1,4,1,2,1,2,0,3,0,-0.328532236,0.973360656,-1.605208333,2
8043,7,1,2,1,6,0,1,0,2,1,3,0,-0.661865569,-2.359972678,-0.355208333,1
8044,6,1,2,0,6,1,1,1,7,1,3,1,0.004801097,-1.359972678,0.144791667,2
8045,4,0,3,0,4,0,1,1,5,1,2,1,-0.328532236,0.973360656,-0.105208333,2
8046,6,0,3,0,5,1,1,1,6,1,2,1,-0.661865569,0.973360656,-1.855208333,2
8047,5,1,2,1,1,0,1,1,1,0,3,1,-1.328532236,1.973360656,-0.605208333,3
8049,7,1,2,1,6,0,1,1,5,0,3,1,-0.995198903,0.640027322,-0.730208333,3
8050,4,1,2,0,4,1,3,0,4,0,1,1,0.338134431,-0.359972678,-0.980208333,1
8052,6,1,3,1,3,0,1,0,4,1,2,1,0.338134431,-1.693306011,-1.480208333,2
8054,5,1,3,1,2,0,1,1,1,0,2,1,-0.995198903,-1.026639344,-0.105208333,3
8055,6,0,2,1,5,0,1,0,7,1,3,1,0.004801097,0.306693989,0.144791667,2
8056,6,0,2,0,6,1,1,1,6,0,3,1,0.004801097,1.640027322,1.269791667,2
8057,2,0,1,0,2,0,3,1,2,1,2,1,-0.661865569,1.640027322,-1.355208333,2
8058,5,1,2,1,2,1,3,1,6,1,1,0,0.671467764,2.306693989,-0.855208333,2
8059,3,0,3,1,4,0,2,1,2,1,1,1,0.004801097,-1.359972678,0.019791667,3
8060,6,1,3,1,1,0,1,0,1,1,2,0,-0.995198903,-1.359972678,-1.605208333,1
8061,2,0,3,1,2,1,2,1,2,1,1,1,0.338134431,-0.026639344,-0.230208333,3
8062,7,1,3,1,5,0,1,1,2,0,2,1,-0.661865569,-1.026639344,0.019791667,3
8064,7,1,3,1,6,1,1,1,2,0,2,1,0.671467764,-1.026639344,0.644791667,3
8065,3,0,2,1,6,1,1,1,4,0,3,0,1.338134431,-1.693306011,-1.105208333,2
8066,7,0,3,1,4,1,1,1,5,1,2,1,0.338134431,0.640027322,0.894791667,3
8067,3,0,2,0,3,0,3,0,3,0,1,0,1.004801097,0.306693989,-0.605208333,0
8069,6,1,3,1,4,1,2,0,3,0,1,1,0.004801097,0.973360656,-0.480208333,2
8070,4,0,2,0,6,0,1,1,2,1,3,1,-1.661865569,-0.026639344,-0.230208333,2
8071,7,1,1,1,4,1,3,0,3,0,2,0,-0.995198903,-1.026639344,-0.480208333,1
8072,5,1,1,1,5,0,2,1,4,0,3,0,-1.328532236,0.306693989,-0.105208333,2
8073,3,0,1,0,5,0,3,0,3,1,2,1,1.004801097,-1.359972678,0.144791667,1
8074,3,0,2,0,2,1,3,0,2,1,1,0,-2.995198903,-1.693306011,1.644791667,0
8075,2,0,1,1,4,1,3,1,2,0,2,1,0.671467764,0.306693989,0.644791667,3
8076,3,0,3,1,4,1,1,0,1,0,2,1,-0.328532236,-0.693306011,-0.980208333,2
8077,7,1,3,1,7,0,1,1,5,1,2,1,0.671467764,1.306693989,0.269791667,3
8078,6,0,2,0,5,0,1,1,3,0,3,1,0.671467764,0.306693989,1.894791667,2
8080,5,0,3,1,1,1,1,1,3,1,2,1,0.671467764,0.306693989,0.894791667,3
8081,5,1,1,1,3,1,2,0,3,1,3,1,-0.661865569,-0.693306011,0.269791667,2
8083,7,1,1,0,7,1,2,1,7,1,3,1,0.671467764,-3.693306011,0.019791667,2
8084,1,0,1,1,1,0,2,1,2,1,3,1,1.004801097,1.640027322,-0.730208333,3
8085,6,0,2,0,7,0,1,1,5,0,3,1,0.671467764,0.640027322,-0.355208333,2
8086,2,0,3,0,5,1,2,1,2,0,1,1,1.004801097,0.973360656,1.144791667,2
8087,6,1,2,1,5,1,1,0,5,1,3,1,-0.661865569,-0.693306011,0.019791667,2
8088,4,0,2,1,3,1,3,0,6,1,1,0,1.004801097,1.306693989,-0.355208333,1
