lfdn,i,y_i,x_i,man_check_i,inv_app_mc,inv_dl_mc,inv_cat_mc,n,y_i_mc,i_name,n_name,x_i_name
6943,1,2,0,1,0.004801097,0.640027322,0.019791667,3,-2.046843177,rep,third,low
6943,2,4,1,1,0.004801097,0.640027322,0.019791667,2,-0.525458248,pop,second,high
6943,3,5,1,1,0.004801097,0.640027322,0.019791667,1,0.032586558,brand,first,high
7945,1,5,1,1,0.671467764,-0.026639344,-0.105208333,1,0.953156823,rep,first,high
7945,2,2,0,1,0.671467764,-0.026639344,-0.105208333,3,-2.525458248,pop,third,low
7945,3,4,1,1,0.671467764,-0.026639344,-0.105208333,2,-0.967413442,brand,second,high
7946,1,3,0,1,-0.661865569,0.306693989,0.144791667,2,-1.046843177,rep,second,low
7946,2,6,1,1,-0.661865569,0.306693989,0.144791667,3,1.474541752,pop,third,high
7946,3,6,0,1,-0.661865569,0.306693989,0.144791667,1,1.032586558,brand,first,low
7947,1,2,0,0,1.671467764,-1.359972678,0.394791667,2,-2.046843177,rep,second,low
7947,2,7,1,1,1.671467764,-1.359972678,0.394791667,3,2.474541752,pop,third,high
7947,3,6,1,0,1.671467764,-1.359972678,0.394791667,1,1.032586558,brand,first,high
7948,1,2,1,1,1.671467764,0.973360656,0.269791667,2,-2.046843177,rep,second,high
7948,2,4,0,1,1.671467764,0.973360656,0.269791667,1,-0.525458248,pop,first,low
7948,3,4,1,1,1.671467764,0.973360656,0.269791667,3,-0.967413442,brand,third,high
7949,1,2,0,1,1.338134431,-0.693306011,2.519791667,3,-2.046843177,rep,third,low
7949,2,5,0,1,1.338134431,-0.693306011,2.519791667,1,0.474541752,pop,first,low
7949,3,6,1,1,1.338134431,-0.693306011,2.519791667,2,1.032586558,brand,second,high
7950,1,6,1,1,0.004801097,-0.026639344,-0.230208333,2,1.953156823,rep,second,high
7950,2,5,1,1,0.004801097,-0.026639344,-0.230208333,1,0.474541752,pop,first,high
7950,3,2,0,0,0.004801097,-0.026639344,-0.230208333,3,-2.967413442,brand,third,low
7951,1,6,1,0,0.671467764,0.640027322,-0.605208333,3,1.953156823,rep,third,high
7951,2,3,0,0,0.671467764,0.640027322,-0.605208333,2,-1.525458248,pop,second,low
7951,3,6,1,1,0.671467764,0.640027322,-0.605208333,1,1.032586558,brand,first,high
7952,1,6,0,1,1.338134431,0.640027322,0.769791667,3,1.953156823,rep,third,low
7952,2,5,0,0,1.338134431,0.640027322,0.769791667,1,0.474541752,pop,first,low
7952,3,7,0,1,1.338134431,0.640027322,0.769791667,2,2.032586558,brand,second,low
7953,1,6,1,0,1.004801097,1.306693989,2.394791667,2,1.953156823,rep,second,high
7953,2,6,1,0,1.004801097,1.306693989,2.394791667,3,1.474541752,pop,third,high
7953,3,7,1,1,1.004801097,1.306693989,2.394791667,1,2.032586558,brand,first,high
7954,1,4,0,1,0.004801097,-1.693306011,0.769791667,3,-0.046843177,rep,third,low
7954,2,5,1,1,0.004801097,-1.693306011,0.769791667,2,0.474541752,pop,second,high
7954,3,4,0,1,0.004801097,-1.693306011,0.769791667,1,-0.967413442,brand,first,low
7955,1,6,1,1,-1.328532236,0.973360656,0.894791667,3,1.953156823,rep,third,high
7955,2,2,0,1,-1.328532236,0.973360656,0.894791667,1,-2.525458248,pop,first,low
7955,3,1,0,1,-1.328532236,0.973360656,0.894791667,2,-3.967413442,brand,second,low
7956,1,4,0,0,0.004801097,-0.693306011,-0.355208333,3,-0.046843177,rep,third,low
7956,2,4,0,0,0.004801097,-0.693306011,-0.355208333,2,-0.525458248,pop,second,low
7956,3,4,1,1,0.004801097,-0.693306011,-0.355208333,1,-0.967413442,brand,first,high
7957,1,5,1,1,1.338134431,1.973360656,-0.855208333,3,0.953156823,rep,third,high
7957,2,7,1,1,1.338134431,1.973360656,-0.855208333,2,2.474541752,pop,second,high
7957,3,7,1,0,1.338134431,1.973360656,-0.855208333,1,2.032586558,brand,first,high
7958,1,6,1,1,-1.328532236,-0.359972678,0.644791667,1,1.953156823,rep,first,high
7958,2,6,0,1,-1.328532236,-0.359972678,0.644791667,3,1.474541752,pop,third,low
7958,3,6,0,1,-1.328532236,-0.359972678,0.644791667,2,1.032586558,brand,second,low
7959,1,5,0,1,-0.328532236,-0.359972678,0.519791667,1,0.953156823,rep,first,low
7959,2,2,1,0,-0.328532236,-0.359972678,0.519791667,3,-2.525458248,pop,third,high
7959,3,3,0,1,-0.328532236,-0.359972678,0.519791667,2,-1.967413442,brand,second,low
7960,1,4,1,0,-0.661865569,-0.359972678,-0.605208333,3,-0.046843177,rep,third,high
7960,2,4,1,1,-0.661865569,-0.359972678,-0.605208333,2,-0.525458248,pop,second,high
7960,3,4,1,1,-0.661865569,-0.359972678,-0.605208333,1,-0.967413442,brand,first,high
7961,1,5,0,1,0.004801097,0.306693989,0.519791667,1,0.953156823,rep,first,low
7961,2,6,0,1,0.004801097,0.306693989,0.519791667,2,1.474541752,pop,second,low
7961,3,7,0,1,0.004801097,0.306693989,0.519791667,3,2.032586558,brand,third,low
7963,1,1,0,1,0.004801097,1.306693989,-0.480208333,3,-3.046843177,rep,third,low
7963,2,2,1,1,0.004801097,1.306693989,-0.480208333,2,-2.525458248,pop,second,high
7963,3,6,1,1,0.004801097,1.306693989,-0.480208333,1,1.032586558,brand,first,high
7965,1,4,1,1,0.004801097,-0.359972678,-1.105208333,3,-0.046843177,rep,third,high
7965,2,4,1,1,0.004801097,-0.359972678,-1.105208333,1,-0.525458248,pop,first,high
7965,3,4,1,1,0.004801097,-0.359972678,-1.105208333,2,-0.967413442,brand,second,high
7966,1,6,1,1,0.004801097,0.973360656,-0.355208333,1,1.953156823,rep,first,high
7966,2,3,1,0,0.004801097,0.973360656,-0.355208333,3,-1.525458248,pop,third,high
7966,3,5,1,0,0.004801097,0.973360656,-0.355208333,2,0.032586558,brand,second,high
7967,1,4,1,1,1.004801097,-1.359972678,-0.855208333,2,-0.046843177,rep,second,high
7967,2,5,1,0,1.004801097,-1.359972678,-0.855208333,3,0.474541752,pop,third,high
7967,3,7,1,1,1.004801097,-1.359972678,-0.855208333,1,2.032586558,brand,first,high
7969,1,4,1,1,-2.328532236,-1.026639344,-1.105208333,3,-0.046843177,rep,third,high
7969,2,4,1,0,-2.328532236,-1.026639344,-1.105208333,1,-0.525458248,pop,first,high
7969,3,6,0,1,-2.328532236,-1.026639344,-1.105208333,2,1.032586558,brand,second,low
7970,1,1,1,1,1.671467764,0.306693989,-1.230208333,2,-3.046843177,rep,second,high
7970,2,5,1,0,1.671467764,0.306693989,-1.230208333,3,0.474541752,pop,third,high
7970,3,7,1,1,1.671467764,0.306693989,-1.230208333,1,2.032586558,brand,first,high
7971,1,1,0,1,-5.328532236,-4.693306011,-0.355208333,1,-3.046843177,rep,first,low
