lfdn,i,y_i,x_i,man_check_i,inv_app_mc,inv_dl_mc,inv_cat_mc,n,y_i_mc,i_name
6943,1,2,0,1,0.004801097,0.640027322,0.019791667,3,-2.046843177,rep
7945,1,5,1,1,0.671467764,-0.026639344,-0.105208333,1,0.953156823,rep
7946,1,3,0,1,-0.661865569,0.306693989,0.144791667,2,-1.046843177,rep
7947,1,2,0,0,1.671467764,-1.359972678,0.394791667,2,-2.046843177,rep
7948,1,2,1,1,1.671467764,0.973360656,0.269791667,2,-2.046843177,rep
7949,1,2,0,1,1.338134431,-0.693306011,2.519791667,3,-2.046843177,rep
7950,1,6,1,1,0.004801097,-0.026639344,-0.230208333,2,1.953156823,rep
7951,1,6,1,0,0.671467764,0.640027322,-0.605208333,3,1.953156823,rep
7952,1,6,0,1,1.338134431,0.640027322,0.769791667,3,1.953156823,rep
7953,1,6,1,0,1.004801097,1.306693989,2.394791667,2,1.953156823,rep
7954,1,4,0,1,0.004801097,-1.693306011,0.769791667,3,-0.046843177,rep
7955,1,6,1,1,-1.328532236,0.973360656,0.894791667,3,1.953156823,rep
7956,1,4,0,0,0.004801097,-0.693306011,-0.355208333,3,-0.046843177,rep
7957,1,5,1,1,1.338134431,1.973360656,-0.855208333,3,0.953156823,rep
7958,1,6,1,1,-1.328532236,-0.359972678,0.644791667,1,1.953156823,rep
7959,1,5,0,1,-0.328532236,-0.359972678,0.519791667,1,0.953156823,rep
7960,1,4,1,0,-0.661865569,-0.359972678,-0.605208333,3,-0.046843177,rep
7961,1,5,0,1,0.004801097,0.306693989,0.519791667,1,0.953156823,rep
7963,1,1,0,1,0.004801097,1.306693989,-0.480208333,3,-3.046843177,rep
7965,1,4,1,1,0.004801097,-0.359972678,-1.105208333,3,-0.046843177,rep
7966,1,6,1,1,0.004801097,0.973360656,-0.355208333,1,1.953156823,rep
7967,1,4,1,1,1.004801097,-1.359972678,-0.855208333,2,-0.046843177,rep
7969,1,4,1,1,-2.328532236,-1.026639344,-1.105208333,3,-0.046843177,rep
7970,1,1,1,1,1.671467764,0.306693989,-1.230208333,2,-3.046843177,rep
7971,1,1,0,1,-5.328532236,-4.693306011,-0.355208333,1,-3.046843177,rep
7972,1,3,1,0,-0.995198903,0.306693989,-0.730208333,2,-1.046843177,rep
7974,1,2,1,1,0.338134431,1.306693989,1.894791667,3,-2.046843177,rep
7975,1,4,0,1,1.004801097,1.306693989,1.519791667,2,-0.046843177,rep
7976,1,4,1,0,0.004801097,-0.026639344,1.519791667,3,-0.046843177,rep
7977,1,4,1,0,-2.661865569,-1.026639344,0.144791667,3,-0.046843177,rep
7978,1,3,1,1,-0.328532236,-0.359972678,-0.605208333,1,-1.046843177,rep
7979,1,3,0,1,0.004801097,1.973360656,-0.480208333,3,-1.046843177,rep
7980,1,5,0,1,0.338134431,-0.026639344,-0.605208333,3,0.953156823,rep
7981,1,4,1,1,1.338134431,-1.359972678,2.519791667,3,-0.046843177,rep
7982,1,7,1,1,0.671467764,-0.693306011,-0.105208333,1,2.953156823,rep
7983,1,2,0,1,0.671467764,0.306693989,1.519791667,3,-2.046843177,rep
7984,1,3,1,1,-2.661865569,-0.026639344,0.894791667,3,-1.046843177,rep
7985,1,3,0,1,0.338134431,-1.359972678,0.644791667,3,-1.046843177,rep
7987,1,6,0,1,0.004801097,0.306693989,-0.230208333,3,1.953156823,rep
7988,1,6,0,1,0.671467764,0.973360656,0.519791667,3,1.953156823,rep
7989,1,6,0,0,1.338134431,-0.359972678,-1.980208333,2,1.953156823,rep
7990,1,2,0,1,-2.328532236,-0.693306011,-1.605208333,1,-2.046843177,rep
7991,1,4,1,1,-0.995198903,-0.693306011,-0.105208333,1,-0.046843177,rep
7992,1,4,1,1,-0.328532236,-0.359972678,0.144791667,3,-0.046843177,rep
7993,1,3,0,1,0.004801097,-0.026639344,0.269791667,2,-1.046843177,rep
7994,1,6,0,1,0.671467764,0.973360656,-0.230208333,2,1.953156823,rep
7995,1,5,1,1,0.004801097,1.640027322,-0.605208333,1,0.953156823,rep
7996,1,1,1,1,0.004801097,-3.693306011,-0.480208333,3,-3.046843177,rep
7997,1,6,0,0,-1.995198903,-0.359972678,0.019791667,2,1.953156823,rep
7998,1,4,1,1,0.338134431,-0.359972678,-0.605208333,3,-0.046843177,rep
7999,1,6,1,1,0.671467764,0.973360656,-0.480208333,1,1.953156823,rep
8001,1,2,1,0,-1.661865569,-1.693306011,-4.480208333,2,-2.046843177,rep
8002,1,4,0,1,0.671467764,-0.026639344,0.519791667,1,-0.046843177,rep
8003,1,4,1,0,-2.661865569,-0.693306011,-1.105208333,3,-0.046843177,rep
8004,1,5,1,0,-0.661865569,-0.359972678,0.019791667,1,0.953156823,rep
8005,1,2,0,0,0.338134431,-0.693306011,0.769791667,3,-2.046843177,rep
8006,1,4,0,1,-2.328532236,1.306693989,0.769791667,2,-0.046843177,rep
8007,1,4,1,0,-0.995198903,0.640027322,-0.105208333,3,-0.046843177,rep
8008,1,6,0,0,1.338134431,2.306693989,-1.980208333,1,1.953156823,rep
8010,1,4,1,0,-0.661865569,-1.359972678,-0.480208333,1,-0.046843177,rep
8011,1,7,1,1,-0.328532236,2.306693989,-1.230208333,2,2.953156823,rep
8012,1,7,0,0,-0.328532236,2.306693989,-1.230208333,2,2.953156823,rep
8013,1,7,0,0,-0.328532236,2.306693989,-1.230208333,3,2.953156823,rep
8014,1,4,0,1,0.004801097,-1.026639344,-0.355208333,3,-0.046843177,rep
8015,1,5,0,1,-1.661865569,0.640027322,-1.230208333,3,0.953156823,rep
8016,1,4,0,1,-0.661865569,-0.359972678,-1.230208333,1,-0.046843177,rep
8017,1,6,0,0,0.004801097,0.640027322,0.394791667,1,1.953156823,rep
8018,1,3,0,1,-0.328532236,-0.026639344,0.144791667,3,-1.046843177,rep
8019,1,5,0,1,0.338134431,-0.693306011,0.394791667,1,0.953156823,rep
8020,1,5,0,1,1.338134431,-1.359972678,1.019791667,3,0.953156823,rep
8021,1,5,0,1,0.671467764,0.973360656,0.144791667,3,0.953156823,rep
8023,1,6,1,1,0.004801097,-0.693306011,-0.105208333,2,1.953156823,rep
8024,1,2,0,0,0.338134431,-1.693306011,0.144791667,3,-2.046843177,rep
8026,1,3,1,1,1.338134431,-2.693306011,-1.355208333,2,-1.046843177,rep
8027,1,6,1,1,1.004801097,-1.359972678,-0.355208333,1,1.953156823,rep
8028,1,3,1,1,0.671467764,-1.026639344,-0.605208333,2,-1.046843177,rep
8029,1,4,1,0,-0.328532236,1.306693989,-0.480208333,2,-0.046843177,rep
8030,1,7,1,1,0.338134431,0.640027322,0.019791667,2,2.953156823,rep
8031,1,4,1,1,-0.661865569,-0.359972678,0.394791667,3,-0.046843177,rep
8032,1,3,0,1,-0.661865569,1.306693989,-0.480208333,3,-1.046843177,rep
8033,1,7,1,1,0.671467764,-0.693306011,-1.355208333,3,2.953156823,rep
8034,1,3,1,1,1.004801097,0.306693989,-1.855208333,3,-1.046843177,rep
8036,1,6,1,1,0.671467764,-0.359972678,0.144791667,3,1.953156823,rep
8037,1,5,1,1,-0.995198903,-0.693306011,0.144791667,1,0.953156823,rep
8038,1,5,0,0,-1.661865569,2.306693989,0.019791667,3,0.953156823,rep
8039,1,2,1,1,-0.995198903,2.306693989,-0.855208333,2,-2.046843177,rep
8040,1,2,1,0,-0.995198903,-1.693306011,0.269791667,2,-2.046843177,rep
8041,1,5,0,1,0.004801097,0.973360656,1.519791667,2,0.953156823,rep
8042,1,2,0,0,-0.328532236,0.973360656,-1.605208333,3,-2.046843177,rep
8043,1,2,1,0,-0.661865569,-2.359972678,-0.355208333,3,-2.046843177,rep
8044,1,7,1,1,0.004801097,-1.359972678,0.144791667,3,2.953156823,rep
8045,1,5,1,1,-0.328532236,0.973360656,-0.105208333,2,0.953156823,rep
8046,1,6,1,1,-0.661865569,0.973360656,-1.855208333,2,1.953156823,rep
8047,1,1,0,1,-1.328532236,1.973360656,-0.605208333,3,-3.046843177,rep
8049,1,5,0,1,-0.995198903,0.640027322,-0.730208333,3,0.953156823,rep
8050,1,4,0,1,0.338134431,-0.359972678,-0.980208333,1,-0.046843177,rep
8052,1,4,1,1,0.338134431,-1.693306011,-1.480208333,2,-0.046843177,rep
8054,1,1,0,1,-0.995198903,-1.026639344,-0.105208333,2,-3.046843177,rep
8055,1,7,1,1,0.004801097,0.306693989,0.144791667,3,2.953156823,rep
8056,1,6,0,1,0.004801097,1.640027322,1.269791667,3,1.953156823,rep
8057,1,2,1,1,-0.661865569,1.640027322,-1.355208333,2,-2.046843177,rep
8058,1,6,1,0,0.671467764,2.306693989,-0.855208333,1,1.953156823,rep
8059,1,2,1,1,0.004801097,-1.359972678,0.019791667,1,-2.046843177,rep
8060,1,1,1,0,-0.995198903,-1.359972678,-1.605208333,2,-3.046843177,rep
8061,1,2,1,1,0.338134431,-0.026639344,-0.230208333,1,-2.046843177,rep
8062,1,2,0,1,-0.661865569,-1.026639344,0.019791667,2,-2.046843177,rep
8064,1,2,0,1,0.671467764,-1.026639344,0.644791667,2,-2.046843177,rep
8065,1,4,0,0,1.338134431,-1.693306011,-1.105208333,3,-0.046843177,rep
8066,1,5,1,1,0.338134431,0.640027322,0.894791667,2,0.953156823,rep
8067,1,3,0,0,1.004801097,0.306693989,-0.605208333,1,-1.046843177,rep
8069,1,3,0,1,0.004801097,0.973360656,-0.480208333,1,-1.046843177,rep
8070,1,2,1,1,-1.661865569,-0.026639344,-0.230208333,3,-2.046843177,rep
8071,1,3,0,0,-0.995198903,-1.026639344,-0.480208333,2,-1.046843177,rep
8072,1,4,0,0,-1.328532236,0.306693989,-0.105208333,3,-0.046843177,rep
8073,1,3,1,1,1.004801097,-1.359972678,0.144791667,2,-1.046843177,rep
8074,1,2,1,0,-2.995198903,-1.693306011,1.644791667,1,-2.046843177,rep
8075,1,2,0,1,0.671467764,0.306693989,0.644791667,2,-2.046843177,rep
8076,1,1,0,1,-0.328532236,-0.693306011,-0.980208333,2,-3.046843177,rep
8077,1,5,1,1,0.671467764,1.306693989,0.269791667,2,0.953156823,rep
8078,1,3,0,1,0.671467764,0.306693989,1.894791667,3,-1.046843177,rep
8080,1,3,1,1,0.671467764,0.306693989,0.894791667,2,-1.046843177,rep
8081,1,3,1,1,-0.661865569,-0.693306011,0.269791667,3,-1.046843177,rep
8083,1,7,1,1,0.671467764,-3.693306011,0.019791667,3,2.953156823,rep
8084,1,2,1,1,1.004801097,1.640027322,-0.730208333,3,-2.046843177,rep
8085,1,5,0,1,0.671467764,0.640027322,-0.355208333,3,0.953156823,rep
8086,1,2,0,1,1.004801097,0.973360656,1.144791667,1,-2.046843177,rep
8087,1,5,1,1,-0.661865569,-0.693306011,0.019791667,3,0.953156823,rep
8088,1,6,1,0,1.004801097,1.306693989,-0.355208333,1,1.953156823,rep
8089,1,5,1,0,-1.328532236,-0.359972678,1.894791667,1,0.953156823,rep
8090,1,1,1,1,0.004801097,0.973360656,1.519791667,1,-3.046843177,rep
8091,1,6,1,1,-1.328532236,-1.359972678,0.644791667,1,1.953156823,rep
8092,1,5,0,0,-2.328532236,-1.026639344,0.394791667,3,0.953156823,rep
8093,1,6,1,1,0.338134431,-0.693306011,0.644791667,3,1.953156823,rep
8094,1,5,1,1,-1.995198903,-0.026639344,1.519791667,2,0.953156823,rep
8095,1,4,1,1,-0.328532236,-0.026639344,-1.480208333,3,-0.046843177,rep
8096,1,2,0,1,0.004801097,0.640027322,-1.855208333,2,-2.046843177,rep
8097,1,4,0,1,-1.328532236,-0.359972678,0.269791667,3,-0.046843177,rep
8098,1,4,0,1,-0.995198903,-2.693306011,0.019791667,1,-0.046843177,rep
8099,1,6,0,0,-0.661865569,-1.359972678,0.894791667,1,1.953156823,rep
8100,1,3,0,1,0.671467764,-1.693306011,0.769791667,3,-1.046843177,rep
8101,1,2,1,0,-0.995198903,-2.026639344,0.769791667,1,-2.046843177,rep
8102,1,3,0,1,-0.328532236,-0.026639344,-1.105208333,3,-1.046843177,rep
8103,1,6,1,1,0.004801097,-1.359972678,-0.230208333,2,1.953156823,rep
8104,1,3,1,1,0.671467764,0.306693989,0.019791667,3,-1.046843177,rep
8106,1,3,0,0,-2.661865569,-2.693306011,0.394791667,3,-1.046843177,rep
8107,1,6,1,1,-0.328532236,-0.026639344,-0.730208333,2,1.953156823,rep
8108,1,4,0,1,-0.661865569,0.973360656,0.519791667,1,-0.046843177,rep
8109,1,5,1,1,-0.328532236,0.973360656,0.644791667,3,0.953156823,rep
8110,1,2,1,1,-0.328532236,-0.026639344,0.519791667,1,-2.046843177,rep
8111,1,5,1,1,0.338134431,2.306693989,0.894791667,2,0.953156823,rep
8113,1,5,1,1,0.671467764,0.973360656,0.519791667,3,0.953156823,rep
8114,1,2,0,1,0.004801097,1.306693989,-0.605208333,1,-2.046843177,rep
8115,1,2,0,1,-1.328532236,-2.359972678,-0.855208333,3,-2.046843177,rep
8116,1,7,1,1,0.671467764,-0.026639344,-2.105208333,3,2.953156823,rep
8117,1,3,1,0,-0.661865569,-0.359972678,-3.105208333,3,-1.046843177,rep
8118,1,3,0,1,-0.328532236,-1.359972678,-0.355208333,1,-1.046843177,rep
8119,1,5,1,1,-0.995198903,0.306693989,2.269791667,1,0.953156823,rep
8120,1,7,1,1,0.671467764,-0.026639344,1.269791667,3,2.953156823,rep
8121,1,2,0,1,-1.328532236,1.306693989,1.394791667,1,-2.046843177,rep
8123,1,2,0,1,-0.328532236,-0.026639344,-1.480208333,3,-2.046843177,rep
8124,1,1,0,1,-0.661865569,-0.026639344,-0.355208333,1,-3.046843177,rep
8125,1,1,0,1,0.004801097,-1.693306011,0.394791667,3,-3.046843177,rep
8126,1,3,0,1,1.671467764,-0.359972678,-2.480208333,2,-1.046843177,rep
8127,1,6,1,1,-1.328532236,0.306693989,0.144791667,1,1.953156823,rep
8128,1,5,0,1,1.338134431,-1.026639344,1.769791667,3,0.953156823,rep
8129,1,3,0,1,1.338134431,0.973360656,-0.480208333,1,-1.046843177,rep
8130,1,3,1,1,0.338134431,1.306693989,0.644791667,3,-1.046843177,rep
8131,1,4,1,1,0.671467764,0.306693989,-1.105208333,1,-0.046843177,rep
8132,1,5,0,0,0.338134431,-0.359972678,-1.230208333,1,0.953156823,rep
8133,1,5,0,0,-0.661865569,0.973360656,0.644791667,2,0.953156823,rep
8134,1,7,1,1,0.004801097,-2.693306011,-0.730208333,2,2.953156823,rep
8136,1,1,0,1,0.004801097,-0.693306011,0.394791667,1,-3.046843177,rep
8137,1,3,0,1,0.004801097,1.306693989,-1.730208333,1,-1.046843177,rep
8138,1,6,1,1,-0.328532236,-0.026639344,0.769791667,3,1.953156823,rep
8139,1,2,1,1,-1.661865569,-0.693306011,-0.105208333,2,-2.046843177,rep
8140,1,2,0,1,0.338134431,-1.026639344,-0.480208333,1,-2.046843177,rep
8141,1,3,0,0,-0.995198903,0.640027322,0.519791667,3,-1.046843177,rep
8142,1,5,0,0,-2.995198903,-1.693306011,-1.730208333,3,0.953156823,rep
8143,1,2,0,1,-1.328532236,-1.026639344,-0.355208333,2,-2.046843177,rep
8145,1,5,1,1,1.004801097,-0.026639344,0.644791667,1,0.953156823,rep
8146,1,5,0,1,0.338134431,-0.026639344,0.894791667,2,0.953156823,rep
8147,1,3,1,1,1.671467764,0.640027322,-2.230208333,2,-1.046843177,rep
8148,1,4,0,0,-0.995198903,-0.359972678,-0.730208333,3,-0.046843177,rep
8149,1,2,1,1,-5.328532236,0.640027322,-2.730208333,1,-2.046843177,rep
8150,1,5,1,1,1.004801097,-0.359972678,1.394791667,2,0.953156823,rep
8151,1,4,0,1,-5.328532236,1.973360656,-3.480208333,3,-0.046843177,rep
8152,1,2,0,1,-0.328532236,-0.359972678,-0.355208333,1,-2.046843177,rep
8153,1,2,0,1,0.004801097,-3.693306011,1.519791667,3,-2.046843177,rep
8156,1,2,0,1,-1.328532236,-2.026639344,-2.855208333,3,-2.046843177,rep
8158,1,5,0,1,-1.328532236,-1.026639344,0.019791667,1,0.953156823,rep
8159,1,4,1,1,0.671467764,1.640027322,0.019791667,2,-0.046843177,rep
8160,1,7,0,1,0.004801097,-1.693306011,-0.355208333,2,2.953156823,rep
8161,1,2,0,1,-1.328532236,-0.026639344,0.269791667,3,-2.046843177,rep
8162,1,7,0,1,0.671467764,-0.359972678,1.394791667,3,2.953156823,rep
8165,1,3,1,0,-0.661865569,0.973360656,-1.230208333,2,-1.046843177,rep
8166,1,4,0,1,1.004801097,1.640027322,0.394791667,2,-0.046843177,rep
8167,1,5,1,1,0.671467764,-0.693306011,1.144791667,1,0.953156823,rep
8168,1,4,0,1,0.004801097,-1.693306011,-0.730208333,1,-0.046843177,rep
8169,1,6,0,1,-1.328532236,-1.693306011,1.019791667,2,1.953156823,rep
8170,1,3,0,1,1.004801097,0.306693989,1.019791667,3,-1.046843177,rep
8172,1,3,1,1,1.671467764,0.973360656,1.269791667,1,-1.046843177,rep
8173,1,2,1,1,-1.995198903,1.306693989,-0.355208333,1,-2.046843177,rep
8174,1,1,1,0,-0.995198903,-0.026639344,0.144791667,1,-3.046843177,rep
8176,1,5,1,0,-0.328532236,-0.693306011,1.269791667,3,0.953156823,rep
8177,1,5,0,1,1.671467764,-1.693306011,1.519791667,2,0.953156823,rep
8178,1,3,0,1,-0.661865569,-2.026639344,-1.855208333,3,-1.046843177,rep
8179,1,5,1,1,0.338134431,-0.359972678,-1.855208333,2,0.953156823,rep
8180,1,4,1,1,0.338134431,0.973360656,1.394791667,1,-0.046843177,rep
8182,1,4,0,0,1.004801097,0.973360656,-0.105208333,3,-0.046843177,rep
8183,1,5,0,1,0.004801097,-2.026639344,0.769791667,3,0.953156823,rep
8185,1,3,1,1,1.004801097,1.640027322,0.144791667,1,-1.046843177,rep
8186,1,1,0,1,0.338134431,-1.359972678,-0.355208333,1,-3.046843177,rep
8187,1,2,0,1,-1.661865569,0.306693989,-0.730208333,3,-2.046843177,rep
8188,1,4,0,1,0.671467764,-0.693306011,1.894791667,3,-0.046843177,rep
8189,1,2,1,1,0.338134431,1.306693989,-0.105208333,3,-2.046843177,rep
8190,1,5,0,1,0.671467764,-2.693306011,0.519791667,2,0.953156823,rep
8191,1,2,0,1,1.338134431,1.640027322,2.019791667,2,-2.046843177,rep
8194,1,3,0,1,0.671467764,1.973360656,1.894791667,1,-1.046843177,rep
8195,1,6,0,0,-0.661865569,1.306693989,1.019791667,1,1.953156823,rep
8196,1,4,1,1,-0.661865569,-1.359972678,-0.230208333,1,-0.046843177,rep
8198,1,4,0,1,0.338134431,0.306693989,0.144791667,3,-0.046843177,rep
8199,1,2,0,1,-0.328532236,2.306693989,-1.730208333,3,-2.046843177,rep
8200,1,4,0,0,0.338134431,2.306693989,-4.480208333,2,-0.046843177,rep
8201,1,2,0,1,-1.328532236,0.973360656,0.519791667,3,-2.046843177,rep
8202,1,5,1,1,-1.328532236,-0.026639344,-0.355208333,2,0.953156823,rep
8203,1,3,1,0,-0.328532236,-1.026639344,-1.980208333,2,-1.046843177,rep
