lfdn,inv_app,inv_dl,inv_cat,y_brand_1,x_brand,man_check_brand,inv_app_mc,inv_dl_mc,inv_cat_mc
6943,5.333333333,5.333333333,4.5,5,1,1,0.004801097,0.640027322,0.019791667
7947,7,3.333333333,4.875,6,1,0,1.671467764,-1.359972678,0.394791667
7946,4.666666667,5,4.625,6,0,1,-0.661865569,0.306693989,0.144791667
7951,6,5.333333333,3.875,6,1,1,0.671467764,0.640027322,-0.605208333
7953,6.333333333,6,6.875,7,1,1,1.004801097,1.306693989,2.394791667
7954,5.333333333,3,5.25,4,0,1,0.004801097,-1.693306011,0.769791667
7956,5.333333333,4,4.125,4,1,1,0.004801097,-0.693306011,-0.355208333
7957,6.666666667,6.666666667,3.625,7,1,0,1.338134431,1.973360656,-0.855208333
7960,4.666666667,4.333333333,3.875,4,1,1,-0.661865569,-0.359972678,-0.605208333
7963,5.333333333,6,4,6,1,1,0.004801097,1.306693989,-0.480208333
7967,6.333333333,3.333333333,3.625,7,1,1,1.004801097,-1.359972678,-0.855208333
7970,7,5,3.25,7,1,1,1.671467764,0.306693989,-1.230208333
7974,5.666666667,6,6.375,7,1,1,0.338134431,1.306693989,1.894791667
7975,6.333333333,6,6,6,0,0,1.004801097,1.306693989,1.519791667
7984,2.666666667,4.666666667,5.375,6,1,1,-2.661865569,-0.026639344,0.894791667
7988,6,5.666666667,5,5,0,1,0.671467764,0.973360656,0.519791667
7989,6.666666667,4.333333333,2.5,6,1,1,1.338134431,-0.359972678,-1.980208333
7992,5,4.333333333,4.625,5,1,1,-0.328532236,-0.359972678,0.144791667
7996,5.333333333,1,4,7,1,1,0.004801097,-3.693306011,-0.480208333
8001,3.666666667,3,4.480208333,4,1,1,-1.661865569,-1.693306011,-3.33333E-10
8003,2.666666667,4,3.375,4,1,0,-2.661865569,-0.693306011,-1.105208333
8005,5.666666667,4,5.25,4,0,1,0.338134431,-0.693306011,0.769791667
8006,3,6,5.25,4,1,0,-2.328532236,1.306693989,0.769791667
8013,5,7,3.25,7,0,1,-0.328532236,2.306693989,-1.230208333
8015,3.666666667,5.333333333,3.25,4,0,0,-1.661865569,0.640027322,-1.230208333
8018,5,4.666666667,4.625,6,1,0,-0.328532236,-0.026639344,0.144791667
8020,6.666666667,3.333333333,5.5,7,1,1,1.338134431,-1.359972678,1.019791667
8024,5.666666667,3,4.625,4,0,0,0.338134431,-1.693306011,0.144791667
8026,6.666666667,2,3.125,7,1,1,1.338134431,-2.693306011,-1.355208333
8028,6,3.666666667,3.875,6,1,1,0.671467764,-1.026639344,-0.605208333
8031,4.666666667,4.333333333,4.875,5,0,0,-0.661865569,-0.359972678,0.394791667
8036,6,4.333333333,4.625,6,1,1,0.671467764,-0.359972678,0.144791667
8038,3.666666667,7,4.5,6,1,1,-1.661865569,2.306693989,0.019791667
8040,4.333333333,3,4.75,6,1,1,-0.995198903,-1.693306011,0.269791667
8041,5.333333333,5.666666667,6,5,0,1,0.004801097,0.973360656,1.519791667
8042,5,5.666666667,2.875,3,1,1,-0.328532236,0.973360656,-1.605208333
8057,4.666666667,6.333333333,3.125,2,0,0,-0.661865569,1.640027322,-1.355208333
8071,4.333333333,3.666666667,4,7,1,1,-0.995198903,-1.026639344,-0.480208333
8072,4,5,4.375,5,1,1,-1.328532236,0.306693989,-0.105208333
8073,6.333333333,3.333333333,4.625,3,0,0,1.004801097,-1.359972678,0.144791667
8075,6,5,5.125,2,0,1,0.671467764,0.306693989,0.644791667
8081,4.666666667,4,4.75,5,1,1,-0.661865569,-0.693306011,0.269791667
8083,6,1,4.5,7,1,0,0.671467764,-3.693306011,0.019791667
8084,6.333333333,6.333333333,3.75,1,0,1,1.004801097,1.640027322,-0.730208333
8092,3,3.666666667,4.875,3,0,1,-2.328532236,-1.026639344,0.394791667
8097,4,4.333333333,4.75,6,0,0,-1.328532236,-0.359972678,0.269791667
8100,6,3,5.25,7,1,1,0.671467764,-1.693306011,0.769791667
8103,5.333333333,3.333333333,4.25,7,1,1,0.004801097,-1.359972678,-0.230208333
8106,2.666666667,2,4.875,2,0,1,-2.661865569,-2.693306011,0.394791667
8107,5,4.666666667,3.75,6,1,1,-0.328532236,-0.026639344,-0.730208333
8109,5,5.666666667,5.125,4,1,1,-0.328532236,0.973360656,0.644791667
8111,5.666666667,7,5.375,2,0,1,0.338134431,2.306693989,0.894791667
8113,6,5.666666667,5,7,1,1,0.671467764,0.973360656,0.519791667
8123,5,4.666666667,3,4,0,1,-0.328532236,-0.026639344,-1.480208333
8126,7,4.333333333,2,6,1,1,1.671467764,-0.359972678,-2.480208333
8128,6.666666667,3.666666667,6.25,3,0,0,1.338134431,-1.026639344,1.769791667
8134,5.333333333,2,3.75,5,0,1,0.004801097,-2.693306011,-0.730208333
8138,5,4.666666667,5.25,6,1,1,-0.328532236,-0.026639344,0.769791667
8139,3.666666667,4,4.375,3,0,0,-1.661865569,-0.693306011,-0.105208333
8143,4,3.666666667,4.125,5,1,1,-1.328532236,-1.026639344,-0.355208333
8147,7,5.333333333,2.25,5,0,0,1.671467764,0.640027322,-2.230208333
8148,4.333333333,4.333333333,3.75,5,0,1,-0.995198903,-0.359972678,-0.730208333
8153,5.333333333,1,6,4,1,0,0.004801097,-3.693306011,1.519791667
8159,6,6.333333333,4.5,5,0,0,0.671467764,1.640027322,0.019791667
8161,4,4.666666667,4.75,5,1,0,-1.328532236,-0.026639344,0.269791667
8166,6.333333333,6.333333333,4.875,2,0,1,1.004801097,1.640027322,0.394791667
8170,6.333333333,5,5.5,6,1,0,1.004801097,0.306693989,1.019791667
8176,5,4,5.75,5,0,1,-0.328532236,-0.693306011,1.269791667
8179,5.666666667,4.333333333,2.625,6,1,1,0.338134431,-0.359972678,-1.855208333
8187,3.666666667,5,3.75,4,1,1,-1.661865569,0.306693989,-0.730208333
8190,6,2,5,7,0,0,0.671467764,-2.693306011,0.519791667
8191,6.666666667,6.333333333,6.5,5,0,1,1.338134431,1.640027322,2.019791667
8199,5,7,2.75,4,0,1,-0.328532236,2.306693989,-1.730208333
