lfdn,inv_app,inv_dl,inv_cat,y_pop_1,x_pop,man_check_pop,inv_app_mc,inv_dl_mc,inv_cat_mc
7948,7,5.666666667,4.75,4,0,1,1.671467764,0.973360656,0.269791667
7949,6.666666667,4,7,5,0,1,1.338134431,-0.693306011,2.519791667
7950,5.333333333,4.666666667,4.25,5,1,1,0.004801097,-0.026639344,-0.230208333
7979,5.333333333,6.666666667,4,4,1,1,0.004801097,1.973360656,-0.480208333
7952,6.666666667,5.333333333,5.25,5,0,0,1.338134431,0.640027322,0.769791667
7955,4,5.666666667,5.375,2,0,1,-1.328532236,0.973360656,0.894791667
7965,5.333333333,4.333333333,3.375,4,1,1,0.004801097,-0.359972678,-1.105208333
7969,3,3.666666667,3.375,4,1,0,-2.328532236,-1.026639344,-1.105208333
7972,4.333333333,5,3.75,5,0,0,-0.995198903,0.306693989,-0.730208333
7976,5.333333333,4.666666667,6,6,1,0,0.004801097,-0.026639344,1.519791667
7977,2.666666667,3.666666667,4.625,4,1,1,-2.661865569,-1.026639344,0.144791667
7980,5.666666667,4.666666667,3.875,6,1,0,0.338134431,-0.026639344,-0.605208333
7981,6.666666667,3.333333333,7,3,0,1,1.338134431,-1.359972678,2.519791667
7983,6,5,6,4,0,1,0.671467764,0.306693989,1.519791667
7985,5.666666667,3.333333333,5.125,7,0,1,0.338134431,-1.359972678,0.644791667
7987,5.333333333,5,4.25,5,0,1,0.004801097,0.306693989,-0.230208333
7993,5.333333333,4.666666667,4.75,3,1,1,0.004801097,-0.026639344,0.269791667
7994,6,5.666666667,4.25,6,0,1,0.671467764,0.973360656,-0.230208333
7997,3.333333333,4.333333333,4.5,6,0,0,-1.995198903,-0.359972678,0.019791667
7998,5.666666667,4.333333333,3.875,4,1,1,0.338134431,-0.359972678,-0.605208333
8007,4.333333333,5.333333333,4.375,7,1,0,-0.995198903,0.640027322,-0.105208333
8011,5,7,3.25,7,1,0,-0.328532236,2.306693989,-1.230208333
8012,5,7,3.25,7,1,0,-0.328532236,2.306693989,-1.230208333
8014,5.333333333,3.666666667,4.125,4,1,1,0.004801097,-1.026639344,-0.355208333
8021,6,5.666666667,4.625,6,0,1,0.671467764,0.973360656,0.144791667
8023,5.333333333,4,4.375,6,0,1,0.004801097,-0.693306011,-0.105208333
8029,5,6,4,4,0,0,-0.328532236,1.306693989,-0.480208333
8030,5.666666667,5.333333333,4.5,5,1,1,0.338134431,0.640027322,0.019791667
8032,4.666666667,6,4,5,1,1,-0.661865569,1.306693989,-0.480208333
8033,6,4,3.125,6,1,0,0.671467764,-0.693306011,-1.355208333
8034,6.333333333,5,2.625,3,0,1,1.004801097,0.306693989,-1.855208333
8039,4.333333333,7,3.625,1,1,0,-0.995198903,2.306693989,-0.855208333
8043,4.666666667,2.333333333,4.125,6,0,0,-0.661865569,-2.359972678,-0.355208333
8044,5.333333333,3.333333333,4.625,6,1,1,0.004801097,-1.359972678,0.144791667
8045,5,5.666666667,4.375,4,0,1,-0.328532236,0.973360656,-0.105208333
8046,4.666666667,5.666666667,2.625,5,1,1,-0.661865569,0.973360656,-1.855208333
8047,4,6.666666667,3.875,1,0,1,-1.328532236,1.973360656,-0.605208333
8049,4.333333333,5.333333333,3.75,6,0,1,-0.995198903,0.640027322,-0.730208333
8052,5.666666667,3,3,3,0,0,0.338134431,-1.693306011,-1.480208333
8055,5.333333333,5,4.625,5,0,0,0.004801097,0.306693989,0.144791667
8054,4.333333333,3.666666667,4.375,2,0,1,-0.995198903,-1.026639344,-0.105208333
8056,5.333333333,6.333333333,5.75,6,1,1,0.004801097,1.640027322,1.269791667
8060,4.333333333,3.333333333,2.875,1,0,0,-0.995198903,-1.359972678,-1.605208333
8062,4.666666667,3.666666667,4.5,5,0,1,-0.661865569,-1.026639344,0.019791667
8064,6,3.666666667,5.125,6,1,1,0.671467764,-1.026639344,0.644791667
8065,6.666666667,3,3.375,6,1,1,1.338134431,-1.693306011,-1.105208333
8066,5.666666667,5.333333333,5.375,4,1,1,0.338134431,0.640027322,0.894791667
8070,3.666666667,4.666666667,4.25,6,0,1,-1.661865569,-0.026639344,-0.230208333
8076,5,4,3.5,4,1,0,-0.328532236,-0.693306011,-0.980208333
8077,6,6,4.75,7,0,1,0.671467764,1.306693989,0.269791667
8078,6,5,6.375,5,0,1,0.671467764,0.306693989,1.894791667
8080,6,5,5.375,1,1,1,0.671467764,0.306693989,0.894791667
8085,6,5.333333333,4.125,7,0,1,0.671467764,0.640027322,-0.355208333
8087,4.666666667,4,4.5,5,1,0,-0.661865569,-0.693306011,0.019791667
8093,5.666666667,4,5.125,7,1,1,0.338134431,-0.693306011,0.644791667
8094,3.333333333,4.666666667,6,5,1,1,-1.995198903,-0.026639344,1.519791667
8095,5,4.666666667,3,2,1,1,-0.328532236,-0.026639344,-1.480208333
8096,5.333333333,5.333333333,2.625,3,1,1,0.004801097,0.640027322,-1.855208333
8102,5,4.666666667,3.375,4,1,1,-0.328532236,-0.026639344,-1.105208333
8104,6,5,4.5,3,1,1,0.671467764,0.306693989,0.019791667
8116,6,4.666666667,2.375,6,0,1,0.671467764,-0.026639344,-2.105208333
8115,4,2.333333333,3.625,5,1,1,-1.328532236,-2.359972678,-0.855208333
8117,4.666666667,4.333333333,1.375,2,0,1,-0.661865569,-0.359972678,-3.105208333
8120,6,4.666666667,5.75,6,0,0,0.671467764,-0.026639344,1.269791667
8125,5.333333333,3,4.875,7,1,0,0.004801097,-1.693306011,0.394791667
8130,5.666666667,6,5.125,5,1,1,0.338134431,1.306693989,0.644791667
8133,4.666666667,5.666666667,5.125,3,1,0,-0.661865569,0.973360656,0.644791667
8141,4.333333333,5.333333333,5,4,1,0,-0.995198903,0.640027322,0.519791667
8142,2.333333333,3,2.75,5,0,0,-2.995198903,-1.693306011,-1.730208333
8146,5.666666667,4.666666667,5.375,5,1,1,0.338134431,-0.026639344,0.894791667
8151,5.328532236,6.666666667,1,4,1,1,6.03508E-11,1.973360656,-3.480208333
8150,6.333333333,4.333333333,5.875,5,1,0,1.004801097,-0.359972678,1.394791667
8156,4,2.666666667,1.625,5,0,1,-1.328532236,-2.026639344,-2.855208333
8160,5.333333333,3,4.125,6,0,0,0.004801097,-1.693306011,-0.355208333
8162,6,4.333333333,5.875,7,1,1,0.671467764,-0.359972678,1.394791667
8165,4.666666667,5.666666667,3.25,3,0,0,-0.661865569,0.973360656,-1.230208333
8169,4,3,5.5,6,1,0,-1.328532236,-1.693306011,1.019791667
8177,7,3,6,6,0,1,1.671467764,-1.693306011,1.519791667
8178,4.666666667,2.666666667,2.625,6,1,1,-0.661865569,-2.026639344,-1.855208333
