lfdn,inv_app,inv_dl,inv_cat,y_rep_1,x_rep,man_check_rep,inv_app_mc,inv_dl_mc,inv_cat_mc
7945,6,4.666666667,4.375,5,1,1,0.671467764,-0.026639344,-0.105208333
7958,4,4.333333333,5.125,6,1,1,-1.328532236,-0.359972678,0.644791667
7959,5,4.333333333,5,5,0,1,-0.328532236,-0.359972678,0.519791667
7961,5.333333333,5,5,5,0,1,0.004801097,0.306693989,0.519791667
7978,5,4.333333333,3.875,3,1,1,-0.328532236,-0.359972678,-0.605208333
7966,5.333333333,5.666666667,4.125,6,1,1,0.004801097,0.973360656,-0.355208333
7971,5.328532236,4.693306011,4.125,1,0,1,6.03508E-11,7.1041E-11,-0.355208333
7982,6,4,4.375,7,1,1,0.671467764,-0.693306011,-0.105208333
7990,3,4,2.875,2,0,1,-2.328532236,-0.693306011,-1.605208333
7991,4.333333333,4,4.375,4,1,1,-0.995198903,-0.693306011,-0.105208333
7995,5.333333333,6.333333333,3.875,5,1,1,0.004801097,1.640027322,-0.605208333
7999,6,5.666666667,4,6,1,1,0.671467764,0.973360656,-0.480208333
8002,6,4.666666667,5,4,0,1,0.671467764,-0.026639344,0.519791667
8004,4.666666667,4.333333333,4.5,5,1,0,-0.661865569,-0.359972678,0.019791667
8008,6.666666667,7,2.5,6,0,0,1.338134431,2.306693989,-1.980208333
8010,4.666666667,3.333333333,4,4,1,0,-0.661865569,-1.359972678,-0.480208333
8016,4.666666667,4.333333333,3.25,4,0,1,-0.661865569,-0.359972678,-1.230208333
8017,5.333333333,5.333333333,4.875,6,0,0,0.004801097,0.640027322,0.394791667
8019,5.666666667,4,4.875,5,0,1,0.338134431,-0.693306011,0.394791667
8027,6.333333333,3.333333333,4.125,6,1,1,1.004801097,-1.359972678,-0.355208333
8037,4.333333333,4,4.625,5,1,1,-0.995198903,-0.693306011,0.144791667
8050,5.666666667,4.333333333,3.5,4,0,1,0.338134431,-0.359972678,-0.980208333
8058,6,7,3.625,6,1,0,0.671467764,2.306693989,-0.855208333
8059,5.333333333,3.333333333,4.5,2,1,1,0.004801097,-1.359972678,0.019791667
8061,5.666666667,4.666666667,4.25,2,1,1,0.338134431,-0.026639344,-0.230208333
8067,6.333333333,5,3.875,3,0,0,1.004801097,0.306693989,-0.605208333
8069,5.333333333,5.666666667,4,3,0,1,0.004801097,0.973360656,-0.480208333
8074,2.333333333,3,6.125,2,1,0,-2.995198903,-1.693306011,1.644791667
8086,6.333333333,5.666666667,5.625,2,0,1,1.004801097,0.973360656,1.144791667
8088,6.333333333,6,4.125,6,1,0,1.004801097,1.306693989,-0.355208333
8089,4,4.333333333,6.375,5,1,0,-1.328532236,-0.359972678,1.894791667
8090,5.333333333,5.666666667,6,1,1,1,0.004801097,0.973360656,1.519791667
8091,4,3.333333333,5.125,6,1,1,-1.328532236,-1.359972678,0.644791667
8098,4.333333333,2,4.5,4,0,1,-0.995198903,-2.693306011,0.019791667
8099,4.666666667,3.333333333,5.375,6,0,0,-0.661865569,-1.359972678,0.894791667
8101,4.333333333,2.666666667,5.25,2,1,0,-0.995198903,-2.026639344,0.769791667
8108,4.666666667,5.666666667,5,4,0,1,-0.661865569,0.973360656,0.519791667
8110,5,4.666666667,5,2,1,1,-0.328532236,-0.026639344,0.519791667
8114,5.333333333,6,3.875,2,0,1,0.004801097,1.306693989,-0.605208333
8118,5,3.333333333,4.125,3,0,1,-0.328532236,-1.359972678,-0.355208333
8119,4.333333333,5,6.75,5,1,1,-0.995198903,0.306693989,2.269791667
8121,4,6,5.875,2,0,1,-1.328532236,1.306693989,1.394791667
8124,4.666666667,4.666666667,4.125,1,0,1,-0.661865569,-0.026639344,-0.355208333
8127,4,5,4.625,6,1,1,-1.328532236,0.306693989,0.144791667
8129,6.666666667,5.666666667,4,3,0,1,1.338134431,0.973360656,-0.480208333
8131,6,5,3.375,4,1,1,0.671467764,0.306693989,-1.105208333
8132,5.666666667,4.333333333,3.25,5,0,0,0.338134431,-0.359972678,-1.230208333
8136,5.333333333,4,4.875,1,0,1,0.004801097,-0.693306011,0.394791667
8137,5.333333333,6,2.75,3,0,1,0.004801097,1.306693989,-1.730208333
8140,5.666666667,3.666666667,4,2,0,1,0.338134431,-1.026639344,-0.480208333
8145,6.333333333,4.666666667,5.125,5,1,1,1.004801097,-0.026639344,0.644791667
8149,5.328532236,5.333333333,1.75,2,1,1,6.03508E-11,0.640027322,-2.730208333
8152,5,4.333333333,4.125,2,0,1,-0.328532236,-0.359972678,-0.355208333
8158,4,3.666666667,4.5,5,0,1,-1.328532236,-1.026639344,0.019791667
8167,6,4,5.625,5,1,1,0.671467764,-0.693306011,1.144791667
8168,5.333333333,3,3.75,4,0,1,0.004801097,-1.693306011,-0.730208333
8172,7,5.666666667,5.75,3,1,1,1.671467764,0.973360656,1.269791667
8173,3.333333333,6,4.125,2,1,1,-1.995198903,1.306693989,-0.355208333
8174,4.333333333,4.666666667,4.625,1,1,0,-0.995198903,-0.026639344,0.144791667
8180,5.666666667,5.666666667,5.875,4,1,1,0.338134431,0.973360656,1.394791667
8185,6.333333333,6.333333333,4.625,3,1,1,1.004801097,1.640027322,0.144791667
8186,5.666666667,3.333333333,4.125,1,0,1,0.338134431,-1.359972678,-0.355208333
8194,6,6.666666667,6.375,3,0,1,0.671467764,1.973360656,1.894791667
8195,4.666666667,6,5.5,6,0,0,-0.661865569,1.306693989,1.019791667
8196,4.666666667,3.333333333,4.25,4,1,1,-0.661865569,-1.359972678,-0.230208333
8205,6.333333333,4.666666667,4.5,6,0,1,1.004801097,-0.026639344,0.019791667
8206,5.666666667,4,4.125,5,1,1,0.338134431,-0.693306011,-0.355208333
8210,5,5,4.25,5,0,1,-0.328532236,0.306693989,-0.230208333
8211,4.666666667,3,3.75,2,1,1,-0.661865569,-1.693306011,-0.730208333
8212,5,3,4.5,6,1,1,-0.328532236,-1.693306011,0.019791667
8219,4.333333333,3.666666667,4.375,5,0,1,-0.995198903,-1.026639344,-0.105208333
8221,5.328532236,4.666666667,3,2,1,1,6.03508E-11,-0.026639344,-1.480208333
8228,4,6.666666667,5.25,6,1,1,-1.328532236,1.973360656,0.769791667
8227,6,2.333333333,2.875,3,0,1,0.671467764,-2.359972678,-1.605208333
8230,6.333333333,5.333333333,5.5,5,1,1,1.004801097,0.640027322,1.019791667
