lfdn,inv_app,inv_dl,inv_cat,y_rep_1e2,x_rep,y_pop_1e2,x_pop,y_brand_3,x_brand,man_check_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_rep,ITD_pop,ITD_rep_2,ITD_pop_2
7948,7,5.666666667,4.75,2,1,4,0,4,1,1,1.671467764,0.973360656,0.269791667,0,0,-2.046843177,-0.525458248
7950,5.333333333,4.666666667,4.25,6,1,5,1,2,0,0,0.004801097,-0.026639344,-0.230208333,1,1,1.953156823,0.474541752
7961,5.333333333,5,5,5,0,6,0,7,0,1,0.004801097,0.306693989,0.519791667,1,1,0.953156823,1.474541752
7972,4.333333333,5,3.75,3,1,5,0,4,0,1,-0.995198903,0.306693989,-0.730208333,0,1,-1.046843177,0.474541752
7991,4.333333333,4,4.375,4,1,5,1,4,1,0,-0.995198903,-0.693306011,-0.105208333,0,1,-0.046843177,0.474541752
7993,5.333333333,4.666666667,4.75,3,0,3,1,4,0,1,0.004801097,-0.026639344,0.269791667,0,0,-1.046843177,-1.525458248
7994,6,5.666666667,4.25,6,0,6,0,6,1,1,0.671467764,0.973360656,-0.230208333,1,1,1.953156823,1.474541752
7997,3.333333333,4.333333333,4.5,6,0,6,0,6,1,0,-1.995198903,-0.359972678,0.019791667,1,1,1.953156823,1.474541752
7999,6,5.666666667,4,6,1,3,1,7,1,1,0.671467764,0.973360656,-0.480208333,1,0,1.953156823,-1.525458248
8008,6.666666667,7,2.5,6,0,6,0,2,0,0,1.338134431,2.306693989,-1.980208333,1,1,1.953156823,1.474541752
8010,4.666666667,3.333333333,4,4,1,5,1,3,0,0,-0.661865569,-1.359972678,-0.480208333,0,1,-0.046843177,0.474541752
8011,5,7,3.25,7,1,7,1,7,0,0,-0.328532236,2.306693989,-1.230208333,1,1,2.953156823,2.474541752
8012,5,7,3.25,7,0,7,1,7,0,1,-0.328532236,2.306693989,-1.230208333,1,1,2.953156823,2.474541752
8016,4.666666667,4.333333333,3.25,4,0,4,0,4,0,1,-0.661865569,-0.359972678,-1.230208333,0,0,-0.046843177,-0.525458248
8023,5.333333333,4,4.375,6,1,6,0,6,1,0,0.004801097,-0.693306011,-0.105208333,1,1,1.953156823,1.474541752
8029,5,6,4,4,1,4,0,4,1,0,-0.328532236,1.306693989,-0.480208333,0,0,-0.046843177,-0.525458248
8030,5.666666667,5.333333333,4.5,7,1,5,1,6,1,0,0.338134431,0.640027322,0.019791667,1,1,2.953156823,0.474541752
8039,4.333333333,7,3.625,2,1,1,1,2,1,1,-0.995198903,2.306693989,-0.855208333,0,0,-2.046843177,-3.525458248
8045,5,5.666666667,4.375,5,1,4,0,4,0,0,-0.328532236,0.973360656,-0.105208333,1,0,0.953156823,-0.525458248
