lfdn,inv_app,inv_dl,inv_cat,y_rep_1e2,x_rep,y_pop_3,x_pop,man_check_pop,y_brand_1e2,x_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_rep,ITD_brand,ITD_rep_2,ITD_brand_2
7947,7,3.333333333,4.875,2,0,7,1,1,6,1,1.671467764,-1.359972678,0.394791667,0,1,-2.046843177,1.032586558
7945,6,4.666666667,4.375,5,1,2,0,1,4,1,0.671467764,-0.026639344,-0.105208333,1,0,0.953156823,-0.967413442
7946,4.666666667,5,4.625,3,0,6,1,1,6,0,-0.661865569,0.306693989,0.144791667,0,1,-1.046843177,1.032586558
7953,6.333333333,6,6.875,6,1,6,1,0,7,1,1.004801097,1.306693989,2.394791667,1,1,1.953156823,2.032586558
7958,4,4.333333333,5.125,6,1,6,0,1,6,0,-1.328532236,-0.359972678,0.644791667,1,1,1.953156823,1.032586558
7959,5,4.333333333,5,5,0,2,1,0,3,0,-0.328532236,-0.359972678,0.519791667,1,0,0.953156823,-1.967413442
7978,5,4.333333333,3.875,3,1,2,1,0,5,1,-0.328532236,-0.359972678,-0.605208333,0,1,-1.046843177,0.032586558
7966,5.333333333,5.666666667,4.125,6,1,3,1,0,5,1,0.004801097,0.973360656,-0.355208333,1,1,1.953156823,0.032586558
7967,6.333333333,3.333333333,3.625,4,1,5,1,0,7,1,1.004801097,-1.359972678,-0.855208333,0,1,-0.046843177,2.032586558
7970,7,5,3.25,1,1,5,1,0,7,1,1.671467764,0.306693989,-1.230208333,0,1,-3.046843177,2.032586558
7971,5.328532236,4.693306011,4.125,1,0,5,0,0,4,1,6.04E-11,7.10E-11,-0.355208333,0,0,-3.046843177,-0.967413442
7975,6.333333333,6,6,4,0,7,1,1,6,0,1.004801097,1.306693989,1.519791667,0,1,-0.046843177,1.032586558
7982,6,4,4.375,7,1,6,0,1,6,1,0.671467764,-0.693306011,-0.105208333,1,1,2.953156823,1.032586558
7989,6.666666667,4.333333333,2.5,6,0,6,1,0,6,1,1.338134431,-0.359972678,-1.980208333,1,1,1.953156823,1.032586558
