lfdn,inv_app,inv_dl,inv_cat,y_rep_3,x_rep,man_check_rep,y_pop_1e2,x_pop,y_brand_1e2,x_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_pop,ITD_brand,ITD_pop_2,ITD_brand_2
6943,5.333333333,5.333333333,4.5,2,0,1,4,1,5,1,0.004801097,0.640027322,0.019791667,0,1,-0.525458248,0.032586558
7949,6.666666667,4,7,2,0,1,5,0,6,1,1.338134431,-0.693306011,2.519791667,1,1,0.474541752,1.032586558
7951,6,5.333333333,3.875,6,1,0,3,0,6,1,0.671467764,0.640027322,-0.605208333,0,1,-1.525458248,1.032586558
7979,5.333333333,6.666666667,4,3,0,1,4,1,4,0,0.004801097,1.973360656,-0.480208333,0,0,-0.525458248,-0.967413442
7952,6.666666667,5.333333333,5.25,6,0,1,5,0,7,0,1.338134431,0.640027322,0.769791667,1,1,0.474541752,2.032586558
7955,4,5.666666667,5.375,6,1,1,2,0,1,0,-1.328532236,0.973360656,0.894791667,0,0,-2.525458248,-3.967413442
7954,5.333333333,3,5.25,4,0,1,5,1,4,0,0.004801097,-1.693306011,0.769791667,1,0,0.474541752,-0.967413442
7956,5.333333333,4,4.125,4,0,0,4,0,4,1,0.004801097,-0.693306011,-0.355208333,0,0,-0.525458248,-0.967413442
7957,6.666666667,6.666666667,3.625,5,1,1,7,1,7,1,1.338134431,1.973360656,-0.855208333,1,1,2.474541752,2.032586558
7960,4.666666667,4.333333333,3.875,4,1,0,4,1,4,1,-0.661865569,-0.359972678,-0.605208333,0,0,-0.525458248,-0.967413442
7963,5.333333333,6,4,1,0,1,2,1,6,1,0.004801097,1.306693989,-0.480208333,0,1,-2.525458248,1.032586558
7965,5.333333333,4.333333333,3.375,4,1,1,4,1,4,1,0.004801097,-0.359972678,-1.105208333,0,0,-0.525458248,-0.967413442
7969,3,3.666666667,3.375,4,1,1,4,1,6,0,-2.328532236,-1.026639344,-1.105208333,0,1,-0.525458248,1.032586558
7974,5.666666667,6,6.375,2,1,1,4,1,7,1,0.338134431,1.306693989,1.894791667,0,1,-0.525458248,2.032586558
7976,5.333333333,4.666666667,6,4,1,0,6,1,7,1,0.004801097,-0.026639344,1.519791667,1,1,1.474541752,2.032586558
7977,2.666666667,3.666666667,4.625,4,1,0,4,1,4,1,-2.661865569,-1.026639344,0.144791667,0,0,-0.525458248,-0.967413442
7980,5.666666667,4.666666667,3.875,5,0,1,6,1,6,0,0.338134431,-0.026639344,-0.605208333,1,1,1.474541752,1.032586558
7981,6.666666667,3.333333333,7,4,1,1,3,0,1,1,1.338134431,-1.359972678,2.519791667,0,0,-1.525458248,-3.967413442
7983,6,5,6,2,0,1,4,0,6,1,0.671467764,0.306693989,1.519791667,0,1,-0.525458248,1.032586558
7984,2.666666667,4.666666667,5.375,3,1,1,5,0,6,1,-2.661865569,-0.026639344,0.894791667,1,1,0.474541752,1.032586558
7985,5.666666667,3.333333333,5.125,3,0,1,7,0,6,0,0.338134431,-1.359972678,0.644791667,1,1,2.474541752,1.032586558
7987,5.333333333,5,4.25,6,0,1,5,0,6,0,0.004801097,0.306693989,-0.230208333,1,1,0.474541752,1.032586558
7988,6,5.666666667,5,6,0,1,6,0,5,0,0.671467764,0.973360656,0.519791667,1,1,1.474541752,0.032586558
7992,5,4.333333333,4.625,4,1,1,4,1,5,1,-0.328532236,-0.359972678,0.144791667,0,1,-0.525458248,0.032586558
7996,5.333333333,1,4,1,1,1,7,0,7,1,0.004801097,-3.693306011,-0.480208333,1,1,2.474541752,2.032586558
7998,5.666666667,4.333333333,3.875,4,1,1,4,1,4,1,0.338134431,-0.359972678,-0.605208333,0,0,-0.525458248,-0.967413442
8003,2.666666667,4,3.375,4,1,0,4,0,4,1,-2.661865569,-0.693306011,-1.105208333,0,0,-0.525458248,-0.967413442
8005,5.666666667,4,5.25,2,0,0,5,0,4,0,0.338134431,-0.693306011,0.769791667,1,0,0.474541752,-0.967413442
8007,4.333333333,5.333333333,4.375,4,1,0,7,1,5,0,-0.995198903,0.640027322,-0.105208333,1,1,2.474541752,0.032586558
8013,5,7,3.25,7,0,0,7,0,7,0,-0.328532236,2.306693989,-1.230208333,1,1,2.474541752,2.032586558
8014,5.333333333,3.666666667,4.125,4,0,1,4,1,4,1,0.004801097,-1.026639344,-0.355208333,0,0,-0.525458248,-0.967413442
8015,3.666666667,5.333333333,3.25,5,0,1,4,1,4,0,-1.661865569,0.640027322,-1.230208333,0,0,-0.525458248,-0.967413442
8018,5,4.666666667,4.625,3,0,1,4,0,6,1,-0.328532236,-0.026639344,0.144791667,0,1,-0.525458248,1.032586558
8020,6.666666667,3.333333333,5.5,5,0,1,7,1,7,1,1.338134431,-1.359972678,1.019791667,1,1,2.474541752,2.032586558
8021,6,5.666666667,4.625,5,0,1,6,0,5,0,0.671467764,0.973360656,0.144791667,1,1,1.474541752,0.032586558
8024,5.666666667,3,4.625,2,0,0,2,0,4,0,0.338134431,-1.693306011,0.144791667,0,0,-2.525458248,-0.967413442
8031,4.666666667,4.333333333,4.875,4,1,1,7,0,5,0,-0.661865569,-0.359972678,0.394791667,1,1,2.474541752,0.032586558
8032,4.666666667,6,4,3,0,1,5,1,7,1,-0.661865569,1.306693989,-0.480208333,1,1,0.474541752,2.032586558
8033,6,4,3.125,7,1,1,6,1,6,0,0.671467764,-0.693306011,-1.355208333,1,1,1.474541752,1.032586558
8034,6.333333333,5,2.625,3,1,1,3,0,6,1,1.004801097,0.306693989,-1.855208333,0,1,-1.525458248,1.032586558
8036,6,4.333333333,4.625,6,1,1,6,1,6,1,0.671467764,-0.359972678,0.144791667,1,1,1.474541752,1.032586558
8038,3.666666667,7,4.5,5,0,0,2,0,6,1,-1.661865569,2.306693989,0.019791667,0,1,-2.525458248,1.032586558
8042,5,5.666666667,2.875,2,0,0,4,1,3,1,-0.328532236,0.973360656,-1.605208333,0,0,-0.525458248,-1.967413442
8043,4.666666667,2.333333333,4.125,2,1,0,6,0,7,1,-0.661865569,-2.359972678,-0.355208333,1,1,1.474541752,2.032586558
8044,5.333333333,3.333333333,4.625,7,1,1,6,1,6,1,0.004801097,-1.359972678,0.144791667,1,1,1.474541752,1.032586558
8047,4,6.666666667,3.875,1,0,1,1,0,5,1,-1.328532236,1.973360656,-0.605208333,0,1,-3.525458248,0.032586558
8049,4.333333333,5.333333333,3.75,5,0,1,6,0,7,1,-0.995198903,0.640027322,-0.730208333,1,1,1.474541752,2.032586558
8055,5.333333333,5,4.625,7,1,1,5,0,6,0,0.004801097,0.306693989,0.144791667,1,1,0.474541752,1.032586558
8056,5.333333333,6.333333333,5.75,6,0,1,6,1,6,0,0.004801097,1.640027322,1.269791667,1,1,1.474541752,1.032586558
8065,6.666666667,3,3.375,4,0,0,6,1,3,0,1.338134431,-1.693306011,-1.105208333,1,0,1.474541752,-1.967413442
8070,3.666666667,4.666666667,4.25,2,1,1,6,0,4,0,-1.661865569,-0.026639344,-0.230208333,1,0,1.474541752,-0.967413442
8072,4,5,4.375,4,0,0,5,0,5,1,-1.328532236,0.306693989,-0.105208333,1,1,0.474541752,0.032586558
8078,6,5,6.375,3,0,1,5,0,6,0,0.671467764,0.306693989,1.894791667,1,1,0.474541752,1.032586558
8081,4.666666667,4,4.75,3,1,1,3,1,5,1,-0.661865569,-0.693306011,0.269791667,0,1,-1.525458248,0.032586558
8083,6,1,4.5,7,1,1,7,1,7,1,0.671467764,-3.693306011,0.019791667,1,1,2.474541752,2.032586558
8084,6.333333333,6.333333333,3.75,2,1,1,1,0,1,0,1.004801097,1.640027322,-0.730208333,0,0,-3.525458248,-3.967413442
8085,6,5.333333333,4.125,5,0,1,7,0,6,0,0.671467764,0.640027322,-0.355208333,1,1,2.474541752,1.032586558
8087,4.666666667,4,4.5,5,1,1,5,1,6,1,-0.661865569,-0.693306011,0.019791667,1,1,0.474541752,1.032586558
8092,3,3.666666667,4.875,5,0,0,4,0,3,0,-2.328532236,-1.026639344,0.394791667,0,0,-0.525458248,-1.967413442
8093,5.666666667,4,5.125,6,1,1,7,1,7,1,0.338134431,-0.693306011,0.644791667,1,1,2.474541752,2.032586558
8095,5,4.666666667,3,4,1,1,2,1,6,0,-0.328532236,-0.026639344,-1.480208333,0,1,-2.525458248,1.032586558
8097,4,4.333333333,4.75,4,0,1,5,0,6,0,-1.328532236,-0.359972678,0.269791667,1,1,0.474541752,1.032586558
8100,6,3,5.25,3,0,1,6,0,7,1,0.671467764,-1.693306011,0.769791667,1,1,1.474541752,2.032586558
8102,5,4.666666667,3.375,3,0,1,4,1,5,1,-0.328532236,-0.026639344,-1.105208333,0,1,-0.525458248,0.032586558
8104,6,5,4.5,3,1,1,3,1,5,1,0.671467764,0.306693989,0.019791667,0,1,-1.525458248,0.032586558
8106,2.666666667,2,4.875,3,0,0,6,0,2,0,-2.661865569,-2.693306011,0.394791667,1,0,1.474541752,-2.967413442
8109,5,5.666666667,5.125,5,1,1,3,1,4,1,-0.328532236,0.973360656,0.644791667,0,0,-1.525458248,-0.967413442
8113,6,5.666666667,5,5,1,1,5,1,7,1,0.671467764,0.973360656,0.519791667,1,1,0.474541752,2.032586558
8116,6,4.666666667,2.375,7,1,1,6,0,5,0,0.671467764,-0.026639344,-2.105208333,1,1,1.474541752,0.032586558
8115,4,2.333333333,3.625,2,0,1,5,1,6,1,-1.328532236,-2.359972678,-0.855208333,1,1,0.474541752,1.032586558
8117,4.666666667,4.333333333,1.375,3,1,0,2,0,6,1,-0.661865569,-0.359972678,-3.105208333,0,1,-2.525458248,1.032586558
8120,6,4.666666667,5.75,7,1,1,6,0,5,1,0.671467764,-0.026639344,1.269791667,1,1,1.474541752,0.032586558
8123,5,4.666666667,3,2,0,1,4,1,4,0,-0.328532236,-0.026639344,-1.480208333,0,0,-0.525458248,-0.967413442
8125,5.333333333,3,4.875,1,0,1,7,1,7,0,0.004801097,-1.693306011,0.394791667,1,1,2.474541752,2.032586558
8128,6.666666667,3.666666667,6.25,5,0,1,3,1,3,0,1.338134431,-1.026639344,1.769791667,0,0,-1.525458248,-1.967413442
8130,5.666666667,6,5.125,3,1,1,5,1,3,0,0.338134431,1.306693989,0.644791667,1,0,0.474541752,-1.967413442
8138,5,4.666666667,5.25,6,1,1,4,0,6,1,-0.328532236,-0.026639344,0.769791667,0,1,-0.525458248,1.032586558
8141,4.333333333,5.333333333,5,3,0,0,4,1,6,1,-0.995198903,0.640027322,0.519791667,0,1,-0.525458248,1.032586558
8142,2.333333333,3,2.75,5,0,0,5,0,5,0,-2.995198903,-1.693306011,-1.730208333,1,1,0.474541752,0.032586558
8148,4.333333333,4.333333333,3.75,4,0,0,3,0,5,0,-0.995198903,-0.359972678,-0.730208333,0,1,-1.525458248,0.032586558
8151,5.328532236,6.666666667,1,4,0,1,4,1,4,0,6.04E-11,1.973360656,-3.480208333,0,0,-0.525458248,-0.967413442
8153,5.333333333,1,6,2,0,1,4,0,4,1,0.004801097,-3.693306011,1.519791667,0,0,-0.525458248,-0.967413442
8156,4,2.666666667,1.625,2,0,1,5,0,5,0,-1.328532236,-2.026639344,-2.855208333,1,1,0.474541752,0.032586558
8161,4,4.666666667,4.75,2,0,1,3,0,5,1,-1.328532236,-0.026639344,0.269791667,0,1,-1.525458248,0.032586558
8162,6,4.333333333,5.875,7,0,1,7,1,7,0,0.671467764,-0.359972678,1.394791667,1,1,2.474541752,2.032586558
8170,6.333333333,5,5.5,3,0,1,3,0,6,1,1.004801097,0.306693989,1.019791667,0,1,-1.525458248,1.032586558
8176,5,4,5.75,5,1,0,3,1,5,0,-0.328532236,-0.693306011,1.269791667,0,1,-1.525458248,0.032586558
8178,4.666666667,2.666666667,2.625,3,0,1,6,1,7,1,-0.661865569,-2.026639344,-1.855208333,1,1,1.474541752,2.032586558
8182,6.333333333,5.666666667,4.375,4,0,0,5,1,6,1,1.004801097,0.973360656,-0.105208333,1,1,0.474541752,1.032586558
8183,5.333333333,2.666666667,5.25,5,0,1,6,1,7,1,0.004801097,-2.026639344,0.769791667,1,1,1.474541752,2.032586558
8187,3.666666667,5,3.75,2,0,1,2,1,4,1,-1.661865569,0.306693989,-0.730208333,0,0,-2.525458248,-0.967413442
8188,6,4,6.375,4,0,1,7,0,7,1,0.671467764,-0.693306011,1.894791667,1,1,2.474541752,2.032586558
8189,5.666666667,6,4.375,2,1,1,5,0,6,1,0.338134431,1.306693989,-0.105208333,1,1,0.474541752,1.032586558
8198,5.666666667,5,4.625,4,0,1,6,0,6,0,0.338134431,0.306693989,0.144791667,1,1,1.474541752,1.032586558
8199,5,7,2.75,2,0,1,2,1,4,0,-0.328532236,2.306693989,-1.730208333,0,0,-2.525458248,-0.967413442
8201,4,5.666666667,5,2,0,1,4,0,7,1,-1.328532236,0.973360656,0.519791667,0,1,-0.525458248,2.032586558
8207,5.666666667,4.666666667,4.25,7,1,1,6,0,7,0,0.338134431,-0.026639344,-0.230208333,1,1,1.474541752,2.032586558
8208,6.666666667,4.333333333,4.25,1,0,1,4,0,4,1,1.338134431,-0.359972678,-0.230208333,0,0,-0.525458248,-0.967413442
8214,7,2,6.125,5,1,1,7,0,7,1,1.671467764,-2.693306011,1.644791667,1,1,2.474541752,2.032586558
8215,6,3.666666667,4.375,3,0,1,5,1,4,0,0.671467764,-1.026639344,-0.105208333,1,0,0.474541752,-0.967413442
