lfdn,inv_app,inv_dl,inv_cat,y_pop,x_pop,comp_pop,man_check_pop,inv_app_mc,inv_dl_mc,inv_cat_mc
6943,5.333333333,5.333333333,4.5,4,1,1,1,0.004801097,0.640027322,0.019791667
7948,7,5.666666667,4.75,4,0,0,1,1.671467764,0.973360656,0.269791667
7947,7,3.333333333,4.875,7,1,1,1,1.671467764,-1.359972678,0.394791667
7945,6,4.666666667,4.375,2,0,1,1,0.671467764,-0.026639344,-0.105208333
7946,4.666666667,5,4.625,6,1,1,1,-0.661865569,0.306693989,0.144791667
7949,6.666666667,4,7,5,0,0,1,1.338134431,-0.693306011,2.519791667
7950,5.333333333,4.666666667,4.25,5,1,0,1,0.004801097,-0.026639344,-0.230208333
7951,6,5.333333333,3.875,3,0,1,0,0.671467764,0.640027322,-0.605208333
7979,5.333333333,6.666666667,4,4,1,0,1,0.004801097,1.973360656,-0.480208333
7952,6.666666667,5.333333333,5.25,5,0,0,0,1.338134431,0.640027322,0.769791667
7953,6.333333333,6,6.875,6,1,1,0,1.004801097,1.306693989,2.394791667
7955,4,5.666666667,5.375,2,0,0,1,-1.328532236,0.973360656,0.894791667
7954,5.333333333,3,5.25,5,1,1,1,0.004801097,-1.693306011,0.769791667
7956,5.333333333,4,4.125,4,0,1,0,0.004801097,-0.693306011,-0.355208333
7958,4,4.333333333,5.125,6,0,1,1,-1.328532236,-0.359972678,0.644791667
7957,6.666666667,6.666666667,3.625,7,1,1,1,1.338134431,1.973360656,-0.855208333
7959,5,4.333333333,5,2,1,1,0,-0.328532236,-0.359972678,0.519791667
7960,4.666666667,4.333333333,3.875,4,1,1,1,-0.661865569,-0.359972678,-0.605208333
7961,5.333333333,5,5,6,0,1,1,0.004801097,0.306693989,0.519791667
7963,5.333333333,6,4,2,1,1,1,0.004801097,1.306693989,-0.480208333
7978,5,4.333333333,3.875,2,1,1,0,-0.328532236,-0.359972678,-0.605208333
7965,5.333333333,4.333333333,3.375,4,1,0,1,0.004801097,-0.359972678,-1.105208333
7966,5.333333333,5.666666667,4.125,3,1,1,0,0.004801097,0.973360656,-0.355208333
7967,6.333333333,3.333333333,3.625,5,1,1,0,1.004801097,-1.359972678,-0.855208333
7969,3,3.666666667,3.375,4,1,0,0,-2.328532236,-1.026639344,-1.105208333
